"RosterId","FeatureId","Definition","Category","ParentFeatureId","Required","DonorEvidence","Classification","CurrentImplementation","Status","SaveCoverage","OwnerMilestone","AcceptanceEvidence","Notes"
"ITEMDEF-001","P1.ITEM.101","Sausages package","Food","P1.ITEM.008","Yes","WOP:32707 SAUSAGES_PACKAGE","Reimplemented","Data-driven perishable package has exactly four deterministic child IDs; F dispenses one physical loose sausage and never consumes the package.","PartiallyImplemented","Partial: package count/child membership/freshness use items.instances.native.v1 and physical poses use world.entities; executed round-trip passes, row-specific stream/manual proof pending","09B","Catalog and exact-four dispense assertions pass; sausage count/freshness/cook-state native round-trip added; complete Items suite and production fridge PlayMode recorded in the outside-fix report","Parent P1.ITEM.008; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated. Captured .034/.0005 freshness rates are live; manual visual/donor and provisional spoiled-effect acceptance remain pending."
"ITEMDEF-002","P1.ITEM.102","Macaroni box","Food","P1.ITEM.008","Yes","WOP:20912 MACARON_BOX","Reimplemented","One F starts a logic-owned 1.35-second whole-food action with no arm animation; the physical box disappears only on completion and freshness follows game time/cooling.","PartiallyImplemented","Partial: items.instances.native.v1 persists freshness/timestamp/consumed state and world.entities persists pose; row-specific unloaded-cell/manual proof pending","09B","Real PlayMode verifies physical-until-complete whole-food consumption; catalog rates and generic native save fields are validated","Parent P1.ITEM.008; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated. Captured .032/.0004 rates are live; manual donor/presentation and provisional spoiled-effect acceptance remain pending."
"ITEMDEF-003","P1.ITEM.103","Pizza","Food","P1.ITEM.008","Yes","WOP:6888 PIZZA","Reimplemented","One F starts generic whole-food consumption with no arm animation; freshness follows authoritative game time and active fridge cooling.","PartiallyImplemented","Partial: items.instances.native.v1 persists freshness/timestamp/consumed state and world.entities persists pose; row-specific unloaded-cell/manual proof pending","09B","Catalog definition/rates, whole-food state and production fridge environment pass automated validation","Parent P1.ITEM.008; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated. Captured .026/.0003 rates are live; manual donor/presentation and provisional spoiled-effect acceptance remain pending."
"ITEMDEF-004","P1.ITEM.104","Potato chips","Food","P1.ITEM.008","Yes","WOP:19832 POTATO_CHIPS","Reimplemented","Non-perishable ordinary food consumes whole through the shared one-F timed action and never invokes first-person arms.","PartiallyImplemented","Partial: items.instances.native.v1 persists consumed state and world.entities persists pose; row-specific stream/manual proof pending","09B","Generic whole-food and no-arm presentation paths pass automated validation","Parent P1.ITEM.008; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; reviewed donor presentation and direct use comparison remain pending."
"ITEMDEF-005","P1.ITEM.105","Milk","DrinkFood","P1.ITEM.008","Yes","WOP:14979 MILK","Reimplemented","One F starts the shared timed whole-item action and drives the existing beer Drink viewmodel with the real carried milk object; active closed fridge applies the captured reduced rate.","PartiallyImplemented","Partial: items.instances.native.v1 persists freshness/timestamp/consumed state and world.entities persists pose; row-specific unloaded-cell/manual proof pending","09B","Catalog .06/.001 rates, authored Drink routing, generic whole-food state and production fridge electricity/door gates pass automated validation","Parent P1.ITEM.008; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated. Logic completion stays authoritative; exact donor effects and manual grip alignment remain unresolved."
"ITEMDEF-006","P1.ITEM.106","Yeast","Ingredient","P1.ITEM.010","Yes","WOP:3647 YEAST","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.010; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-007","P1.ITEM.107","Sugar","Ingredient","P1.ITEM.010","Yes","WOP:16734 SUGAR","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.010; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-008","P1.ITEM.108","Juice concentrate","Ingredient","P1.ITEM.010","Yes","WOP:29022 JUICE_CONCENTRATE; reviewed prefab Use FSM dispatches Hand/Drink","BehavioralReference;Reimplemented","One F starts timed whole-item drinking through the existing beer Drink viewmodel with the real carried juice bottle, then logic completion removes the item.","PartiallyImplemented","Partial: items.instances.native.v1 persists consumed state and world.entities persists pose; row-specific unloaded-cell/manual proof pending","09B","Catalog definition, authored Drink routing and sanitized two-mesh presentation pass automated validation","Parent P1.ITEM.010; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated. Donor FSM remains read-only evidence; exact effects, audio and manual grip comparison remain pending."
"ITEMDEF-009","P1.ITEM.109","Coffee package","Ingredient","P1.ITEM.007","Yes","WOP:34272 COFFEE","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.007; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Content state is authored; donor Coffee-to-groundcoffee mapping remains unresolved."
"ITEMDEF-010","P1.ITEM.110","Charcoal","FuelConsumable","P1.ITEM.013","Yes","WOP:32178 CHARCOAL","Reimplemented","Physical charcoal package pours into a compatible data-driven combustion receiver through cavity overlap and authored tilt/rate rules; project item state remains authoritative.","PartiallyImplemented","items.instances.native.v1 persists package and receiver content; world.entities persists pose; focused state round-trip passed","09B","Catalog build and physical overlap/tilt/rate/combustion validation passed; manual carry feel, continuous audio and rendered comparison pending","Parent P1.ITEM.013; project-owned DefinitionId/StableEntityId. Reviewed temporary presentation remains replaceable. Donor mapping is resolved: package 140, Rigidbody mass 1.8 kg, grill 100, 80-degree tilt and 12 units/s physical transfer; no F transfer shortcut."
