Domain,CurrentObservedOwner,CurrentClassification,CurrentEvidencePath,WeatherLabOwner,WeatherLabClassification,WeatherLabAction,ValidationStatus,Notes
"Sky","BootstrapGlobalVolume/PhysicallyBasedSky","ProjectTemporaryOwner","E:/GAYmDev_Studio/MySummerCar_Remake/Assets/Game/Presentation/Lighting/BootstrapGlobalVolume.asset","Enviro Sky module through one lab VolumeProfile","EnviroOwner","WeatherLab opens independently from Bootstrap; VisualEnvironment selects only EnviroHDRPSky","AUTOMATED_OWNER_PASS; VISUAL_PENDING","Project-owned lab profile is the managed output; vendor profile remains unchanged"
"SunMoonLights","Bootstrap/Directional Sun","ProjectTemporaryOwner","E:/GAYmDev_Studio/MySummerCar_Remake/Assets/Game/Bootstrap/Bootstrap.unity","Enviro Lighting module in Single mode","EnviroOwner","Do not load Bootstrap Directional Sun; validate exactly one active directional environment light","AUTOMATED_OWNER_PASS; VISUAL_PENDING","Runtime smoke found exactly one enabled directional environment light; local fixtures are not owners"
"VolumetricClouds","No active cloud type in Bootstrap VisualEnvironment","Unknown","E:/GAYmDev_Studio/MySummerCar_Remake/Assets/Game/Presentation/Lighting/BootstrapGlobalVolume.asset","Enviro volumetric cloud renderer","EnviroOwner","Keep HDRP-native cloud type disabled in WeatherLab and register only EnviroHDRPRenderer","AUTOMATED_OWNER_PASS; VISUAL_PENDING","Do not run Enviro and HDRP-native volumetric cloud presentations together"
"Fog","BootstrapGlobalVolume/Fog","ProjectTemporaryOwner","E:/GAYmDev_Studio/MySummerCar_Remake/Assets/Game/Presentation/Lighting/BootstrapGlobalVolume.asset","Enviro adapter/module; HDRP Fog component is its managed output substrate","EnviroOwner","Bootstrap Fog absent; keep one project-owned lab VolumeProfile and let Enviro drive its Fog target","AUTOMATED_OWNER_PASS; MANUAL_PASS_CAPTURE_MISSING","User confirmed no unacceptable fog overlap in WeatherLab; production and underwater validation remain pending"
"Exposure","BootstrapGlobalVolume fixed exposure 14","ProjectTemporaryOwner","E:/GAYmDev_Studio/MySummerCar_Remake/Assets/Game/Presentation/Lighting/BootstrapGlobalVolume.asset","Enviro Lighting module controlling the single HDRP Exposure override","EnviroOwner","No second fixed Exposure volume; validate exterior/interior/night readability","AUTOMATED_OWNER_PASS; VISUAL_PENDING","Underlying component is HDRP Exposure, control authority is Enviro presentation"
"AmbientEnvironmentLighting","Bootstrap PhysicallyBasedSky plus static volume settings","ProjectTemporaryOwner","E:/GAYmDev_Studio/MySummerCar_Remake/Assets/Game/Presentation/Lighting/BootstrapGlobalVolume.asset","Enviro Sky/Lighting modules and one IndirectLightingController","EnviroOwner","Remove competing lab ambient owner; current adapter does not execute refresh requests","AUTOMATED_OWNER_PASS; VISUAL_PENDING","Project remains logical authority; refresh capability is intentionally unsupported in 07A"
"Reflections","Bootstrap/current baseline has no Enviro reflection owner","Unknown","E:/GAYmDev_Studio/MySummerCar_Remake/Assets/Game/Bootstrap/Bootstrap.unity","Vendor configuration may own reflections; adapter exposes no refresh capability","Unknown","Do not claim sequence-keyed refresh; inspect effective vendor cadence and profile before production","UNRESOLVED; PERF_PENDING","WeatherLab sends no refresh request in 07A"
"RainEffects","No production weather presentation owner","Unknown","E:/GAYmDev_Studio/MySummerCar_Remake/Assets/Game/Weather/Runtime/IWeatherService.cs","Enviro Weather plus explicitly bound base Effects module","EnviroOwner","Map stable project IDs to typed weather assets and clone the validated base Effects preset with exact Rain key","AUTOMATED_PARTICLE_RUNTIME_PASS; MANUAL_VISUAL_PASS; CAPTURES_MISSING","Additional Weather Pack remains unimported; runtime smoke proves emission and particles, user accepted visible Rain/Storm droplets; Low/High comparison remains pending"
"Wind","No confirmed active production WindZone owner","Unknown","E:/GAYmDev_Studio/MySummerCar_Remake/Assets/Game/Bootstrap/Bootstrap.unity","Enviro Environment module and its single WindZone","EnviroOwner","Do not add a second project WindZone to WeatherLab","AUTOMATED_OWNER_PASS; VISUAL_PENDING","Vegetation response remains manual visual evidence"
"LightningVisuals","No production lightning visual owner","Unknown","E:/GAYmDev_Studio/MySummerCar_Remake/Assets/Game/Weather/Presentation/Runtime/EnvironmentPresentationRequests.cs","Enviro Lightning module on explicit sequence-keyed request","EnviroOwner","Ambient visual only; adapter deduplicates request sequence and cleans up","AUTOMATED_REQUEST_PASS; MANUAL_VISIBLE_CAPTURE_MISSING","User confirmed visible lightning; runtime material clone prevents vendor mutation; gameplay strike/damage remains project-owned"
"WeatherAudio","Unity fallback audio exists but no authoritative weather-audio owner","Unknown","E:/GAYmDev_Studio/MySummerCar_Remake/Assets/Game/Audio/UnityFallback/UnityAudioBackend.cs","WeatherLab silent policy controller","ProjectTemporaryOwner","Zero runtime-clone masters/modifiers/clips and suppress vendor lightning thunder","AUTOMATED_SILENCE_PASS","Default Enviro master volumes are 1; adapter reasserts silence in LateUpdate"
"TimeProgression","No concrete project game-time implementation; Enviro default would free-run","DuplicateConflict","E:/GAYmDev_Studio/MySummerCar_Remake/Assets/Enviro 3 - Sky and Weather/Profiles/Configurations/Default Enviro Configuration.asset","WeatherLab deterministic command source","ProjectTemporaryOwner","Set Enviro Time.Settings.simulate=false and apply explicit date/time frames","AUTOMATED_AUTHORITY_PASS","Enviro is presentation backend, never logical clock authority"
