"StableId","Kind","Domain","ProjectSource","RangeOrValues","WwiseName","UpdatePolicy","HookStatus","AuthoringStatus","Notes"
"audio.parameter.mixer.master","RTPC/Setting","Mixer","AudioSettingsState.Master01","0..1","MSC_Mixer_Master","On settings/focus change","RuntimeMapped","WwiseAuthoringVerified","Backend applies effective master and mute-on-focus-loss."
"audio.parameter.mixer.vehicle","RTPC/Setting","Mixer","AudioSettingsState.Vehicle01","0..1","MSC_Mixer_Vehicle","On settings change","RuntimeMapped","WwiseAuthoringVerified","Vehicle category level."
"audio.parameter.mixer.effects","RTPC/Setting","Mixer","AudioSettingsState.Effects01","0..1","MSC_Mixer_Effects","On settings change","RuntimeMapped","WwiseAuthoringVerified","Effects category level."
"audio.parameter.mixer.ambience","RTPC/Setting","Mixer","AudioSettingsState.Ambience01","0..1","MSC_Mixer_Ambience","On settings change","RuntimeMapped","WwiseAuthoringVerified","Ambience category level."
"audio.parameter.mixer.music","RTPC/Setting","Mixer","AudioSettingsState.Music01","0..1","MSC_Mixer_Music","On settings change","RuntimeMapped","WwiseAuthoringVerified","Music content is deferred."
"audio.parameter.mixer.ui","RTPC/Setting","Mixer","AudioSettingsState.Ui01","0..1","MSC_Mixer_UI","On settings change","RuntimeMapped","WwiseAuthoringVerified","UI/menu sounds are later newly authored content."
"audio.parameter.vehicle.rpm","RTPC","Vehicle","VehicleAudioParameters.EngineRpm","rpm >= 0","MSC_Vehicle_RPM","FixedUpdate + map deadband","RuntimeMapped","WwiseAuthoringVerified","Physical RPM."
"audio.parameter.vehicle.rpm.normalized","RTPC","Vehicle","EngineRpm / RedlineRpm","0..1","MSC_Vehicle_RPM_Normalized","FixedUpdate + map deadband","RuntimeMapped","WwiseAuthoringVerified","Derived and clamped."
"audio.parameter.vehicle.engine_load","RTPC","Vehicle","VehicleAudioParameters.EngineLoad01","0..1","MSC_Vehicle_EngineLoad","FixedUpdate + map deadband","RuntimeMapped","WwiseAuthoringVerified","Simulation telemetry."
"audio.parameter.vehicle.throttle","RTPC","Vehicle","VehicleAudioParameters.Throttle01","0..1","MSC_Vehicle_Throttle","FixedUpdate + map deadband","RuntimeMapped","WwiseAuthoringVerified","Simulation telemetry."
"audio.parameter.vehicle.gear","RTPC","Vehicle","VehicleAudioParameters.SelectedGear","signed integer","MSC_Vehicle_Gear","FixedUpdate + map deadband","RuntimeMapped","WwiseAuthoringVerified","Gear convention remains simulation-owned."
"audio.parameter.vehicle.clutch_slip","RTPC","Vehicle","VehicleAudioParameters.ClutchSlipRpm","rpm >= 0","MSC_Vehicle_ClutchSlipRPM","FixedUpdate + map deadband","RuntimeMapped","WwiseAuthoringVerified","Absolute slip RPM."
"audio.parameter.vehicle.speed","RTPC","Vehicle","VehicleAudioParameters.VehicleSpeedMetersPerSecond","m/s >= 0","MSC_Vehicle_Speed","FixedUpdate + map deadband","RuntimeMapped","WwiseAuthoringVerified","Legacy absolute speed magnitude."
"audio.parameter.vehicle.wheel_speed_radps","RTPC","Vehicle","VehicleAudioParameters.AggregateWheelSpeedRadiansPerSecond","rad/s >= 0","MSC_Vehicle_WheelSpeedRadps","FixedUpdate + map deadband","RuntimeMapped","WwiseAuthoringVerified","Mean absolute wheel angular speed."
"audio.parameter.vehicle.wheel_slip","RTPC","Vehicle","VehicleAudioParameters.WheelSlip01","0..1","MSC_Vehicle_WheelSlip","FixedUpdate + map deadband","RuntimeMapped","WwiseAuthoringVerified","Maximum current wheel slip."
"audio.parameter.vehicle.brake","RTPC","Vehicle","VehicleAudioParameters.Brake01","0..1","MSC_Vehicle_Brake","FixedUpdate + map deadband","RuntimeMapped","WwiseAuthoringVerified","Current brake input/telemetry."
"audio.parameter.vehicle.suspension_impact","RTPC","Vehicle","VehicleAudioParameters.SuspensionImpact01","0..1","MSC_Vehicle_SuspensionImpact","FixedUpdate envelope + deadband","RuntimeMapped","WwiseAuthoringVerified","Derived from wheel load/compression rise and release."
"audio.parameter.vehicle.battery_voltage","RTPC","Vehicle","VehicleAudioParameters.BatteryVoltage","V >= 0","MSC_Vehicle_BatteryVoltage","FixedUpdate + map deadband","RuntimeMapped","WwiseAuthoringVerified","Audible design remains tunable."
"audio.parameter.vehicle.engine_temperature","RTPC","Vehicle","VehicleAudioParameters.EngineTemperatureCelsius","finite C","MSC_Vehicle_EngineTemperature","FixedUpdate + map deadband","RuntimeMapped","WwiseAuthoringVerified","Audible design remains tunable."
"audio.parameter.vehicle.damage","RTPC","Vehicle","VehicleAudioParameters.Damage01","0..1","MSC_Vehicle_Damage","Only when DamageAvailable","RuntimeMappedConditional","WwiseAuthoringVerified","Unavailable is not reported as measured zero."
"audio.parameter.vehicle.interior_blend","RTPC","Vehicle","VehicleAudioParameters.InteriorBlend01","0..1","MSC_Vehicle_InteriorBlend","Only when InteriorContextAvailable","RuntimeMappedConditional","WwiseAuthoringVerified","Current simulation producer does not provide it."
"audio.parameter.vehicle.door_openness","RTPC","Vehicle","VehicleAudioParameters.DoorOpenness01","0..1","MSC_Vehicle_DoorOpenness","Only when OpeningsContextAvailable","RuntimeMappedConditional","WwiseAuthoringVerified","Door gameplay remains authoritative."
"audio.parameter.vehicle.window_openness","RTPC","Vehicle","VehicleAudioParameters.WindowOpenness01","0..1","MSC_Vehicle_WindowOpenness","Only when OpeningsContextAvailable","RuntimeMappedConditional","WwiseAuthoringVerified","Window gameplay remains authoritative."
"audio.parameter.weather.precipitation","RTPC","Weather","WeatherEnvironmentOutputs.Audio.PrecipitationIntensity01","0..1","MSC_Weather_Precipitation","On project output revision","RuntimeMapped","WwiseAuthoringVerified","No Enviro event dependency."
"audio.parameter.weather.wind","RTPC","Weather","WeatherEnvironmentOutputs.Audio.WindIntensity01","0..1","MSC_Weather_Wind","On project output revision","RuntimeMapped","WwiseAuthoringVerified","No Enviro event dependency."
"audio.parameter.weather.thunder_risk","RTPC","Weather","WeatherEnvironmentOutputs.Audio.ThunderRisk01","0..1","MSC_Weather_ThunderRisk","On project output revision","RuntimeMapped","WwiseAuthoringVerified","Risk is context, not trigger authority."
"audio.parameter.environment.shelter","RTPC","Listener","AudioEnvironmentContext.Shelter01","0..1","MSC_Environment_Shelter","LateUpdate + map deadband","RuntimeMapped","WwiseAuthoringVerified","Explicit audio zone wins; otherwise project weather exposure supplies a bounded fallback context."
"audio.parameter.environment.time_of_day","RTPC","Listener","AudioEnvironmentContext.NormalizedDayTime01","0..1","MSC_Environment_TimeOfDay","LateUpdate + map deadband","RuntimeMapped","WwiseAuthoringVerified","Project clock value."
"audio.parameter.lightning.intensity","RTPC","Weather","LightningStrikeEvent/ThunderAudioRequest.Intensity01","0..1","MSC_Weather_ThunderIntensity","Per increasing sequence","RuntimeMapped","WwiseAuthoringVerified","Set for strike and thunder."
"audio.parameter.lightning.distance","RTPC","Weather","Listener-to-thunder distance","meters >= 0","MSC_Weather_ThunderDistance","Per thunder request","RuntimeMapped","WwiseAuthoringVerified","Derived once from snapshot listener."
"audio.parameter.lightning.delay","RTPC/SchedulingContext","Weather","ThunderAudioRequest.DelaySeconds","seconds >= 0","MSC_Weather_ThunderDelay","Per thunder request","RuntimeMapped","WwiseAuthoringVerified","Also used as AudioEventRequest delay; RTPC is presentation context."
"audio.parameter.interaction.impact_intensity","RTPC","Interaction","InteractionAudioBridge action tuning","0..1","MSC_Interaction_ImpactIntensity","Per completed action","RuntimeMapped","WwiseAuthoringVerified","Audio cannot authorize the interaction."
"audio.switch.vehicle.surface","SwitchGroup","Vehicle","VehicleAudioParameters.Surface","group","MSC_Vehicle_Surface","FixedUpdate/on change","RuntimeMapped","WwiseAuthoringVerified","Typed metadata only."
"audio.switch.vehicle.surface.unknown","SwitchValue","Vehicle","VehicleAudioSurface.Unknown","Unknown","Unknown","As surface changes","RuntimeMapped","WwiseAuthoringVerified","Fallback surface value."
"audio.switch.vehicle.surface.paved","SwitchValue","Vehicle","VehicleAudioSurface.Paved","Paved","Paved","As surface changes","RuntimeMapped","WwiseAuthoringVerified","Mapped from dominant contacted surface."
"audio.switch.vehicle.surface.gravel","SwitchValue","Vehicle","VehicleAudioSurface.Gravel","Gravel","Gravel","As surface changes","RuntimeMapped","WwiseAuthoringVerified","Mapped from dominant contacted surface."
"audio.switch.vehicle.surface.dirt","SwitchValue","Vehicle","VehicleAudioSurface.Dirt","Dirt","Dirt","As surface changes","RuntimeMapped","WwiseAuthoringVerified","Mapped from dominant contacted surface."
"audio.switch.vehicle.surface.grass","SwitchValue","Vehicle","VehicleAudioSurface.Grass","Grass","Grass","As surface changes","RuntimeMapped","WwiseAuthoringVerified","Mapped from dominant contacted surface."
"audio.switch.vehicle.surface.mud_wet","SwitchValue","Vehicle","VehicleAudioSurface.MudWet","MudWet","MudWet","As surface changes","RuntimeMapped","WwiseAuthoringVerified","Mapped from dominant contacted surface."
"audio.switch.weather.precipitation_type","SwitchGroup","Weather","WeatherEnvironmentOutputs.Audio.PrecipitationType","group","MSC_Weather_PrecipitationType","On project output revision","RuntimeMapped","WwiseAuthoringVerified","Project-owned precipitation enum."
"audio.switch.weather.precipitation_type.none","SwitchValue","Weather","MapPrecipitation default","None","None","On type change","RuntimeMapped","WwiseAuthoringVerified","Current producer emits this."
"audio.switch.weather.precipitation_type.drizzle","SwitchValue","Weather","WeatherPrecipitationType.Drizzle","Drizzle","Drizzle","On type change","RuntimeMapped","WwiseAuthoringVerified","Current producer emits this."
"audio.switch.weather.precipitation_type.rain","SwitchValue","Weather","WeatherPrecipitationType.Rain","Rain","Rain","On type change","RuntimeMapped","WwiseAuthoringVerified","Current producer emits this."
"audio.switch.weather.precipitation_type.snow","SwitchValue","Weather","No current mapping branch","Snow","Snow","Future","DeferredHook","WwiseAuthoringVerified","Declared but current mapper does not emit Snow."
"audio.switch.interaction.material","SwitchGroup","Interaction","No current producer","group","MSC_Interaction_Material","Future per action","DeferredHook","WwiseAuthoringVerified","Declared values are backend data hooks."
"audio.switch.interaction.material.unknown","SwitchValue","Interaction","No current producer","Unknown","Unknown","Future","DeferredHook","WwiseAuthoringVerified","Explicit fallback value."
"audio.switch.interaction.material.metal","SwitchValue","Interaction","No current producer","Metal","Metal","Future","DeferredHook","WwiseAuthoringVerified","Requires typed material metadata."
"audio.switch.interaction.material.wood","SwitchValue","Interaction","No current producer","Wood","Wood","Future","DeferredHook","WwiseAuthoringVerified","Requires typed material metadata."
"audio.switch.interaction.material.plastic","SwitchValue","Interaction","No current producer","Plastic","Plastic","Future","DeferredHook","WwiseAuthoringVerified","Requires typed material metadata."
"audio.switch.interaction.material.glass","SwitchValue","Interaction","No current producer","Glass","Glass","Future","DeferredHook","WwiseAuthoringVerified","Requires typed material metadata."
"audio.switch.interaction.material.concrete","SwitchValue","Interaction","No current producer","Concrete","Concrete","Future","DeferredHook","WwiseAuthoringVerified","Requires typed material metadata."
"audio.switch.interaction.material.fabric","SwitchValue","Interaction","No current producer","Fabric","Fabric","Future","DeferredHook","WwiseAuthoringVerified","Requires typed material metadata."
"audio.switch.footstep.surface","SwitchGroup","Player","PlayerFootstepAudioPresenter + IAudioSurfaceMetadataProvider","group","MSC_Player_FootstepSurface","Per emitted footstep","RuntimeMapped","WwiseAuthoringVerified","Typed metadata only; no renderer/material/object-name inference."
"audio.switch.footstep.surface.unknown","SwitchValue","Player","AudioSurfaceKind.Unknown","Unknown","Unknown","Per emitted footstep","RuntimeMapped","WwiseAuthoringVerified","Explicit fallback; Wwise prototype routes it to the concrete family."
"audio.switch.footstep.surface.paved","SwitchValue","Player","AudioSurfaceKind.Paved","Paved","Paved","Per emitted footstep","RuntimeMapped","WwiseAuthoringVerified","Wwise prototype routes it to the concrete family."
