"RosterId","FeatureId","VehicleRole","Class","Required","DonorEvidence","BehaviorSummary","Classification","CurrentImplementation","Status","LegacyPresentation","SaveCoverage","OwnerMilestone","AcceptanceEvidence","Notes"
"VEH-001","P1.VEHICLE.001","Satsuma project vehicle","PlayerDrivable","Yes","Frozen04A1 SATSUMA root &64200 and CARPARTS root; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Complete role, controls or AI route, damage/state, recovery and persistence","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","11A-V1b physical shell plus complete 125-root direct CARPARTS roster integrated with M05/M06/native vehicle aggregate; mount graph pending","PartiallyImplemented","8-renderer body shell, 22 sanitized chassis hulls, 125 donor-relative loose part wrappers: 75 PartsCar, 39 PartsMotor, 6 PartsGT, 5 PartsExtra; 78 donor-active","All 126 PartInstances participate in schema-1 aggregate capture; automated roster/bootstrap persistence-boundary validation passed; manual new-save/load round-trip pending","11A","Deterministic builder 8/22/125/78/46; focused EditMode 8/8; production Bootstrap PlayMode 1/1 (6.91 s); manual garage visual/physics/save acceptance pending","V1b intentionally remains kinematic with no mount/fastener graph and missing fluids/wiring/input until V1c"
"VEH-002","P1.VEHICLE.002","Hayosiko van","PlayerDrivable","Yes","Frozen04A1 SATSUMA/vehicle/TRAFFIC/RALLY/DRAGRACE hierarchy","Complete role, controls or AI route, damage/state, recovery and persistence","BehavioralReference","Nothing","EvidenceCaptured","External frozen presentation; no wrapper","None","11A","Roster comparison + role flow + audio + recovery + unloaded-cell save round-trip","Grouped variants require exact multiplicity audit"
"VEH-003","P1.VEHICLE.003","Gifu sewage truck","PlayerDrivableJob","Yes","Frozen04A1 SATSUMA/vehicle/TRAFFIC/RALLY/DRAGRACE hierarchy","Complete role, controls or AI route, damage/state, recovery and persistence","BehavioralReference","Nothing","EvidenceCaptured","External frozen presentation; no wrapper","None","11A","Roster comparison + role flow + audio + recovery + unloaded-cell save round-trip","Grouped variants require exact multiplicity audit"
"VEH-004","P1.VEHICLE.004","Kekmet tractor","PlayerDrivableJob","Yes","Frozen04A1 SATSUMA/vehicle/TRAFFIC/RALLY/DRAGRACE hierarchy","Complete role, controls or AI route, damage/state, recovery and persistence","BehavioralReference","Nothing","EvidenceCaptured","External frozen presentation; no wrapper","None","11A","Roster comparison + role flow + audio + recovery + unloaded-cell save round-trip","Grouped variants require exact multiplicity audit"
"VEH-005","P1.VEHICLE.005","Ruscko car","PlayerDrivable","Yes","Frozen04A1 SATSUMA/vehicle/TRAFFIC/RALLY/DRAGRACE hierarchy","Complete role, controls or AI route, damage/state, recovery and persistence","BehavioralReference","Nothing","EvidenceCaptured","External frozen presentation; no wrapper","None","11A","Roster comparison + role flow + audio + recovery + unloaded-cell save round-trip","Grouped variants require exact multiplicity audit"
"VEH-006","P1.VEHICLE.006","Ferndale muscle car","PlayerDrivableLoan","Yes","Frozen04A1 SATSUMA/vehicle/TRAFFIC/RALLY/DRAGRACE hierarchy","Complete role, controls or AI route, damage/state, recovery and persistence","BehavioralReference","Nothing","EvidenceCaptured","External frozen presentation; no wrapper","None","11A","Roster comparison + role flow + audio + recovery + unloaded-cell save round-trip","Grouped variants require exact multiplicity audit"
"VEH-007","P1.VEHICLE.007","Jonnez ES moped","PlayerDrivable","Yes","Frozen04A1 SATSUMA/vehicle/TRAFFIC/RALLY/DRAGRACE hierarchy","Complete role, controls or AI route, damage/state, recovery and persistence","BehavioralReference","Nothing","EvidenceCaptured","External frozen presentation; no wrapper","None","11A","Roster comparison + role flow + audio + recovery + unloaded-cell save round-trip","Grouped variants require exact multiplicity audit"
"VEH-008","P1.VEHICLE.008","Motor boat","PlayerDrivable","Yes","Frozen04A1 SATSUMA/vehicle/TRAFFIC/RALLY/DRAGRACE hierarchy","Complete role, controls or AI route, damage/state, recovery and persistence","BehavioralReference","Nothing","EvidenceCaptured","External frozen presentation; no wrapper","None","11A","Roster comparison + role flow + audio + recovery + unloaded-cell save round-trip","Grouped variants require exact multiplicity audit"
"VEH-009","P1.VEHICLE.009","Combine harvester","PlayerDrivableJob","Yes","Frozen04A1 SATSUMA/vehicle/TRAFFIC/RALLY/DRAGRACE hierarchy","Complete role, controls or AI route, damage/state, recovery and persistence","BehavioralReference","Nothing","EvidenceCaptured","External frozen presentation; no wrapper","None","11A","Roster comparison + role flow + audio + recovery + unloaded-cell save round-trip","Grouped variants require exact multiplicity audit"
"VEH-010","P1.VEHICLE.010","Flatbed trailer","Towable","Yes","Frozen04A1 SATSUMA/vehicle/TRAFFIC/RALLY/DRAGRACE hierarchy","Complete role, controls or AI route, damage/state, recovery and persistence","BehavioralReference","Nothing","EvidenceCaptured","External frozen presentation; no wrapper","None","11A","Roster comparison + role flow + audio + recovery + unloaded-cell save round-trip","Grouped variants require exact multiplicity audit"
