"requirement_id","category","priority","status","fixture_id","name","covered_by_record_ids","next_capture","notes"
"P0-GARAGE-DOOR-CLEARANCE","WorldLandmarks","P0","Missing","garage-dimensions-clearance-v1","Garage door opening and vehicle clearance","","WORLD_LANDMARK_CAPTURE.md","M3 door geometry is project-authored and cannot be used as donor measurement."
"P0-GARAGE-INTERIOR","WorldLandmarks","P0","Missing","garage-dimensions-clearance-v1","Garage interior spans and usable height","","WORLD_LANDMARK_CAPTURE.md","Manual or reviewed mesh measurement required."
"P1-GARAGE-WORKBENCH","WorldLandmarks","P1","Missing","garage-dimensions-clearance-v1","Workbench and key interior positions","","WORLD_LANDMARK_CAPTURE.md","Needed for later interaction layout, not inferred."
"P1-WORLD-LANDMARKS","WorldLandmarks","P1","Partial","garage-dimensions-clearance-v1","Representative landmark transforms","69a80125e3f6185125b3eb655fb1ee63;110caa163a89fad5cc4bbb2a77192d7e;2d07e3525c75a9ae154ec1821ae19a3e;423e250c94376ba4e21062edb9fc8281","WORLD_LANDMARK_CAPTURE.md","Transforms exist; visual comparisons pending."
"P1-ROAD-WIDTH-ELEVATION","WorldLandmarks","P1","Missing","garage-dimensions-clearance-v1","Nearby road width and certified elevation","f677655e1c5225e139e1e989490378fe;e551d6a3081a0a4ba83de50571575663;8c1221cf6be3904361b00d4175ef6ff0","WORLD_LANDMARK_CAPTURE.md","Route samples are not road-surface width/elevation truth."
"P0-PLAYER-SPRINT","PlayerInteraction","P0","Missing","player-movement-interaction-v1","Sprint speed and transition","","PLAYER_INTERACTION_CAPTURE.md","Running FSM exists but no verified normalized value imported."
"P0-PLAYER-CROUCH","PlayerInteraction","P0","Missing","player-movement-interaction-v1","Crouch eye height, body height and transition","","PLAYER_INTERACTION_CAPTURE.md","Serialized FSM present; behavioral capture required."
"P0-INTERACTION-REACH","PlayerInteraction","P0","Missing","player-movement-interaction-v1","Interaction/pickup distance","","PLAYER_INTERACTION_CAPTURE.md","M4 value 2.25 m is remake tuning, not donor evidence."
"P0-INTERACTION-PICKUP-THROW","PlayerInteraction","P0","Missing","player-movement-interaction-v1","Pickup, carry, place and throw behavior","","PLAYER_INTERACTION_CAPTURE.md","Requires repeated runtime observations across masses."
"P0-VEHICLE-TOTAL-MASS","VehicleGeometryAssembly","P0","Partial","vehicle-body-wheel-geometry-v1","Assembled/curb mass and mass-state definition","3041151e93c71a87d89d19779615dc68","VEHICLE_ASSEMBLY_CAPTURE.md","389 kg is root Rigidbody mass only."
