TaskId,ZoneId,Category,ReferenceRecordCount,Priority,Status,RequiredTool,Acceptance,Dependencies,Notes
"cdd129d9c6c5486018100df7752c3681","cell_0_-3","BuildingExterior","195","P0","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 195 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"d7a4b63dde376532245d7b56337f9134","cell_0_-3","BuildingInterior","178","P1","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 178 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"04ce5261c42bb63c02fa8e7cab0434c9","cell_0_-3","ColliderOnly","170","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 170 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"dd29b67303bf7d7b43d82959eccab2d2","cell_0_-3","Door","16","P1","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 16 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"d9635ca975c651bcb96181b03a2b6c92","cell_0_-3","Floor","5","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 5 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"a2c0794983431624aa4b183d19ef5efa","cell_0_-3","InteractivePropCandidate","59","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 59 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"e8089c2ca56a9b0dcf3be955c9332e94","cell_0_-3","Roof","15","P0","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 15 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"2f29c1661437cddbfc786b761538530f","cell_0_-3","Window","9","P2","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 9 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"ab0d78358b4c94a12aef9ba658fda085","cell_0_-2","ColliderOnly","4","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 4 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"649b20b3dc8e1427a2db840332c2ffef","cell_0_-2","InteractivePropCandidate","2","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 2 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
