"Domain","LogicalAuthority","PresentationOwner","LifetimeOrLocation","ProductionBinding","ConflictingOwnerDisposition","AutomatedEvidence","ManualEvidence","StatusAndLimitations"
"GameTimeCalendar","GameTimeService","Enviro Time module is downstream only","Persistent Bootstrap/ProductionEnvironmentController","Enviro simulate=false; project date/time pushed in presentation frame; runtime calibration 60 N / 27.3 E / UTC+3; same-pass sun/moon update; 1995-08-01 horizon crossing about 04:59 / 21:35","Enviro autonomous clock disabled","M07B core 101/101; M07C follow-up EnviroIntegration 17/17 PASS","Sunset and corrected dawn around 05:00 USER PASS 2026-07-18; no capture artifact","PROJECT_AUTHORITY_PASS; SOLAR_FOLLOWUP_AUTOMATED_PASS; TARGETED_DAWN_USER_PASS"
"WeatherScheduleTransition","WeatherDirector","Enviro Weather module is downstream only","Persistent Bootstrap/ProductionEnvironmentController","Remaining project front time converts game seconds to simulation seconds; initial/new/restore instant; DEV duration retained","Enviro autonomous weather schedule disabled","M07B core 101/101; M07C combined production 32/32 PASS","Clear-cloud-rain and load-during-transition PENDING","PROJECT_AUTHORITY_PASS; VISUAL_PENDING"
"Sky","WeatherDirector plus project clock","Enviro Sky through one project-owned HDRP profile","ProductionEnvironmentBackend/Enviro3_ProductionInstance","VisualEnvironment skyType=990 and EnviroHDRPSky; aurora forced off after every quality application","Old Bootstrap Global Volume inactive; no HDRP native sky authority; vendor Low/Medium aurora source remains read-only","ProductionEnvironmentValidator PASS; Enviro integration 17/17","Matched clear-day and no-aurora night views PENDING","SINGLE_OWNER_STRUCTURAL_PASS; AURORA_SUPPRESSION_AUTOMATED_PASS"
"SunMoonLights","Project clock","Enviro Lighting module","ProductionEnvironmentBackend/Enviro3_ProductionInstance","One Enviro lighting strategy; runtime solar calibration targets about 04:59 sunrise and 21:35 sunset on 1995-08-01","Old Bootstrap Directional Sun inactive; external active directional light rejected","ProductionEnvironmentValidator PASS; M07C follow-up EnviroIntegration 17/17 PASS","Sunset and corrected dawn/night brightness USER PASS 2026-07-18; no capture artifact; matched route PENDING","SINGLE_OWNER_STRUCTURAL_PASS; TARGETED_SOLAR_NIGHT_USER_PASS"
"Clouds","WeatherDirector outputs","Enviro cloud renderer","ProductionEnvironmentBackend/Enviro3_ProductionInstance","Clear/scattered/overcast/storm frame mapping","Duplicate HDRP-native cloud owner not configured","M07C WeatherPresentation 53/53 PASS","Production skyline and cell-boundary continuity PENDING","AUTOMATED_BINDING_PASS; VISUAL_PENDING"
"Fog","WeatherDirector fog output","Enviro Fog module; HDRP Fog is managed substrate","ProductionEnvironmentHDRPVolume.asset","One global HDRP Fog target controlled by Enviro clone","Old Bootstrap Fog owner inactive; independent second fog owner rejected","ProductionEnvironmentValidator PASS","Interiors/windows/water/headlights PENDING","SINGLE_AUTHORITY_STRUCTURAL_PASS; VISUAL_PENDING"
"ExposureAmbient","Project-owned exposure policy","Enviro adapter over one runtime-isolated HDRP profile","Runtime clone of ProductionEnvironmentHDRPVolume.asset","Deterministic fixed exposure curve; daylight bias +0.25 EV; context offsets Exterior 0 / Sheltered -0.15 / Interior -0.25 EV; smooth night minimum 7.5 EV over solarTime 0.43-0.50; daylight branch unchanged; explicit runtime profile rebinding","Old Bootstrap fixed exposure 14 volume inactive; source profile is not runtime-mutated","Follow-up EnviroIntegration 17/17 and combined production 32/32 PASS","Corrected night brightness USER PASS 2026-07-18; no capture artifact; headlight/matched route PENDING","SOLAR_NIGHT_FOLLOWUP_AUTOMATED_PASS; TARGETED_NIGHT_USER_PASS"
"Reflections","Project refresh request sequence","Enviro reflection module/global probe","ProductionEnvironmentBackend","Request on binding change/600 game-seconds/25 m listener movement; adapter coalesces with 1 s cooldown; temporary baseline reflection intensity capped at 0.6","No second project reflection updater introduced","Enviro integration 17/17 and combined production 32/32 PASS","Residual metallic/reflection look USER-ACCEPTED as temporary donor material/shader debt until replacement; GPU cadence still unprofiled","BOUNDED_CADENCE_AND_INTENSITY_PASS; ACCEPTED_TEMPORARY_VISUAL_DEBT; PERF_PENDING"
"PrecipitationEffects","WeatherDirector precipitation and intensity","Enviro Weather/Effects runtime clones","Enviro3_ProductionInstance","Drizzle/rain/heavy rain map to isolated base Rain clones; storm to Storm clone","Source vendor profiles are read-only; Enviro audio disabled","M07B integration 13/13; M07C follow-up binding tests PASS","Current rain presentation USER PASS; other interiors/cell-continuity stress route PENDING","AUTOMATED_RUNTIME_PASS; RAIN_USER_PASS; EXTENDED_ROUTE_PENDING"
"WetnessState","GlobalWetnessController","GlobalWetnessShaderBridge plus bounded legacy MPB bridge","Persistent Bootstrap/ProductionEnvironmentController","Project globals and 20 reviewed per-slot allowlist entries; wet target smoothness 0.45 opaque / 0.25 alpha-clip","No unique material instances; temporary water/transparent/unlit/emissive excluded","Follow-up combined production/legacy-wetness 32/32 PASS; builder validator accepts exact profile","Residual metallic look accepted as temporary donor material/shader debt; observed slot coverage PENDING","DOMAIN_AND_BOUNDED_ALLOWLIST_PASS; ACCEPTED_TEMPORARY_VISUAL_DEBT; COVERAGE_PENDING"
"ShelterExposure","ProductionShelterResolver","Enviro3ShelterRemovalBridge runtime zones","Two builder-authored Bootstrap Interior AABBs under persistent backend","Frozen renderer bounds derive stable-ID home house/garage volumes; deterministic horizontal tiling; vertical stretch >=1; DDOL root scanned explicitly","Donor hierarchy paths remain Editor-only provenance","Builder 1.0.2 PASS; follow-up combined production 32/32; lifecycle PlayMode 6/6","Previously reported rain issue USER PASS; perimeter/fog and Teimo/other interiors remain PENDING","AUTHORED_AND_RUNTIME_CONTRACT_PASS; REPORTED_RAIN_ISSUE_USER_PASS; VISUAL_PERIMETER_PENDING"
"Wind","WeatherDirector wind/gust outputs","Enviro Environment module and its single WindZone","Enviro3_ProductionInstance","Normalized XZ direction plus speed/gust written to cloned settings and WindZone","Duplicate active WindZone fails attach","M07C Enviro integration 17/17 PASS","Vegetation response per quality tier PENDING","AUTOMATED_BINDING_PASS; VISUAL_PENDING"
"AmbientLightning","LightningStrikeDirector explicit/automatic ambient request","Enviro visual lightning","Enviro3_ProductionInstance","Sequence-keyed visual-only request; 45 game-sec grace; 90-240 game-sec cooldown; 180-450 m listener-relative target","Vendor automatic lightning, autonomous gameplay effects and thunder audio disabled","M07B lightning tests and M07C combined production 32/32 PASS","Production storm capture PENDING","PROJECT_AUTHORITY_PASS; VISUAL_PENDING"
"GameplayLightning","LightningStrikeDirector","Enviro only presents accepted project strike","Persistent Bootstrap domain plus adapter","Project candidate/protection/cooldown/thunder-delay/restore-grace contract","Enviro never selects gameplay target or applies damage","M07B domain tests and M07C restore test PASS","Non-lethal production route PENDING","PROJECT_AUTHORITY_PASS; DAMAGE_CONSUMER_DEFERRED"
"WeatherAudio","Project audio boundary/future Wwise","No Enviro audio authority","Project-owned WeatherAudioOutput","Precipitation/wind/thunder-risk values are vendor-neutral","Enviro masters/modifiers/clips and vendor thunder suppressed","M07B integration audio-silence tests PASS","Final mix/content deferred to audio milestone","OUTPUT_READY; CONSUMER_DEFERRED"
