"RosterId","FeatureId","ServiceOrLocation","Category","Required","DonorEvidence","BehaviorSummary","Classification","CurrentImplementation","Status","SaveCoverage","OwnerMilestone","AcceptanceEvidence","Notes"
"LOC-001","P1.SERVICE.001","Home and yard","DomesticHub","Yes","Frozen04A1 landmark/world/FSM evidence","Accessible location plus every donor-evidenced transaction, schedule or trigger","BehavioralReference","World baseline only; gameplay service absent","EvidenceCaptured","None","12A","Location access + complete service flow + UI/audio + save round-trip","Geometry presence is not implementation evidence"
"LOC-002","P1.SERVICE.002","Teimo shop","Store","Yes","Frozen04A1 landmark/world/FSM evidence","Accessible location plus every donor-evidenced transaction, schedule or trigger","BehavioralReference","World baseline only; gameplay service absent","EvidenceCaptured","None","12A","Location access + complete service flow + UI/audio + save round-trip","Geometry presence is not implementation evidence"
"LOC-003","P1.SERVICE.003","Pub","FoodDrinkService","Yes","Frozen04A1 landmark/world/FSM evidence","Accessible location plus every donor-evidenced transaction, schedule or trigger","BehavioralReference","World baseline only; gameplay service absent","EvidenceCaptured","None","12A","Location access + complete service flow + UI/audio + save round-trip","Geometry presence is not implementation evidence"
"LOC-004","P1.SERVICE.004","Fuel pumps","FuelService","Yes","Frozen04A1 landmark/world/FSM evidence","Accessible location plus every donor-evidenced transaction, schedule or trigger","BehavioralReference","World baseline only; gameplay service absent","EvidenceCaptured","None","12A","Location access + complete service flow + UI/audio + save round-trip","Geometry presence is not implementation evidence"
"LOC-005","P1.SERVICE.005","Fleetari repair shop","VehicleService","Yes","Frozen04A1 landmark/world/FSM evidence","Accessible location plus every donor-evidenced transaction, schedule or trigger","BehavioralReference","World baseline only; gameplay service absent","EvidenceCaptured","None","12A","Location access + complete service flow + UI/audio + save round-trip","Geometry presence is not implementation evidence"
"LOC-006","P1.SERVICE.006","Vehicle inspection station","AuthorityService","Yes","Frozen04A1 landmark/world/FSM evidence","Accessible location plus every donor-evidenced transaction, schedule or trigger","BehavioralReference","World baseline only; gameplay service absent","EvidenceCaptured","None","12A","Location access + complete service flow + UI/audio + save round-trip","Geometry presence is not implementation evidence"
"LOC-007","P1.SERVICE.007","Wastewater treatment facility","JobService","Yes","Frozen04A1 landmark/world/FSM evidence","Accessible location plus every donor-evidenced transaction, schedule or trigger","BehavioralReference","World baseline only; gameplay service absent","EvidenceCaptured","None","12A","Location access + complete service flow + UI/audio + save round-trip","Geometry presence is not implementation evidence"
"LOC-008","P1.SERVICE.008","Post/mail and catalog delivery point","CommunicationService","Yes","Frozen04A1 landmark/world/FSM evidence","Accessible location plus every donor-evidenced transaction, schedule or trigger","BehavioralReference","World baseline only; gameplay service absent","EvidenceCaptured","None","12A","Location access + complete service flow + UI/audio + save round-trip","Geometry presence is not implementation evidence"
"LOC-009","P1.SERVICE.009","Church/cemetery","ScheduleLocation","Yes","Frozen04A1 landmark/world/FSM evidence","Accessible location plus every donor-evidenced transaction, schedule or trigger","BehavioralReference","World baseline only; gameplay service absent","EvidenceCaptured","None","12A","Location access + complete service flow + UI/audio + save round-trip","Geometry presence is not implementation evidence"
"LOC-010","P1.SERVICE.010","Dance pavilion","EventLocation","Yes","Frozen04A1 landmark/world/FSM evidence","Accessible location plus every donor-evidenced transaction, schedule or trigger","BehavioralReference","World baseline only; gameplay service absent","EvidenceCaptured","None","12A","Location access + complete service flow + UI/audio + save round-trip","Geometry presence is not implementation evidence"
"LOC-011","P1.SERVICE.011","Theatre","EventLocation","Yes","Frozen04A1 landmark/world/FSM evidence","Accessible location plus every donor-evidenced transaction, schedule or trigger","BehavioralReference","World baseline only; gameplay service absent","EvidenceCaptured","None","12A","Location access + complete service flow + UI/audio + save round-trip","Geometry presence is not implementation evidence"
