"RosterId","FeatureId","EventChain","Category","Required","DonorEvidence","BehaviorSummary","Classification","CurrentImplementation","Status","SaveCoverage","OwnerMilestone","AcceptanceEvidence","Notes"
"EVT-001","P1.EVENT.001","Uncle van access and key progression","FamilyProgression","Yes","Frozen04A1 HUMANS/JOBS/Systems/NPC_CARS FSM metadata","Project-owned conditional graph, all outcomes, idempotency and persistence","BehavioralReference","Nothing","EvidenceCaptured","None","13A","Branch fixture + donor comparison + save/load at every graph node","Exact conditions/outcomes remain capture-gated"
"EVT-002","P1.EVENT.002","Uncle/Gifu availability and consequences","FamilyProgression","Yes","Frozen04A1 HUMANS/JOBS/Systems/NPC_CARS FSM metadata","Project-owned conditional graph, all outcomes, idempotency and persistence","BehavioralReference","Nothing","EvidenceCaptured","None","13A","Branch fixture + donor comparison + save/load at every graph node","Exact conditions/outcomes remain capture-gated"
"EVT-003","P1.EVENT.003","Jokke phone-call and ride chain","RelationshipChain","Yes","Frozen04A1 HUMANS/JOBS/Systems/NPC_CARS FSM metadata","Project-owned conditional graph, all outcomes, idempotency and persistence","BehavioralReference","Nothing","EvidenceCaptured","None","13A","Branch fixture + donor comparison + save/load at every graph node","Exact conditions/outcomes remain capture-gated"
"EVT-004","P1.EVENT.004","Jokke move-house chain","RelationshipChain","Yes","Frozen04A1 HUMANS/JOBS/Systems/NPC_CARS FSM metadata","Project-owned conditional graph, all outcomes, idempotency and persistence","BehavioralReference","Nothing","EvidenceCaptured","None","13A","Branch fixture + donor comparison + save/load at every graph node","Exact conditions/outcomes remain capture-gated"
"EVT-005","P1.EVENT.005","Jokke suitcase/money branch","RelationshipBranch","Yes","Frozen04A1 HUMANS/JOBS/Systems/NPC_CARS FSM metadata","Project-owned conditional graph, all outcomes, idempotency and persistence","BehavioralReference","Nothing","EvidenceCaptured","None","13A","Branch fixture + donor comparison + save/load at every graph node","Exact conditions/outcomes remain capture-gated"
"EVT-006","P1.EVENT.006","Jokke suicide/outcome branch","RelationshipOutcome","Yes","Frozen04A1 HUMANS/JOBS/Systems/NPC_CARS FSM metadata","Project-owned conditional graph, all outcomes, idempotency and persistence","BehavioralReference","Nothing","EvidenceCaptured","None","13A","Branch fixture + donor comparison + save/load at every graph node","Exact conditions/outcomes remain capture-gated"
"EVT-007","P1.EVENT.007","Suski roadside rescue","RelationshipChain","Yes","Frozen04A1 HUMANS/JOBS/Systems/NPC_CARS FSM metadata","Project-owned conditional graph, all outcomes, idempotency and persistence","BehavioralReference","Nothing","EvidenceCaptured","None","13A","Branch fixture + donor comparison + save/load at every graph node","Exact conditions/outcomes remain capture-gated"
"EVT-008","P1.EVENT.008","Suski date/relationship progression","RelationshipChain","Yes","Frozen04A1 HUMANS/JOBS/Systems/NPC_CARS FSM metadata","Project-owned conditional graph, all outcomes, idempotency and persistence","BehavioralReference","Nothing","EvidenceCaptured","None","13A","Branch fixture + donor comparison + save/load at every graph node","Exact conditions/outcomes remain capture-gated"
"EVT-009","P1.EVENT.009","Suski late outcome/ending branch","RelationshipOutcome","Yes","Frozen04A1 HUMANS/JOBS/Systems/NPC_CARS FSM metadata","Project-owned conditional graph, all outcomes, idempotency and persistence","BehavioralReference","Nothing","EvidenceCaptured","None","13A","Branch fixture + donor comparison + save/load at every graph node","Exact conditions/outcomes remain capture-gated"
"EVT-010","P1.EVENT.010","Jani/Petteri road encounter and crash consequences","TrafficStory","Yes","Frozen04A1 HUMANS/JOBS/Systems/NPC_CARS FSM metadata","Project-owned conditional graph, all outcomes, idempotency and persistence","BehavioralReference","Nothing","EvidenceCaptured","None","13A","Branch fixture + donor comparison + save/load at every graph node","Exact conditions/outcomes remain capture-gated"
