"RosterId","FeatureId","DisplayRole","Group","Required","DonorEvidence","BehaviorSummary","Classification","CurrentImplementation","Status","LegacyPresentation","SaveCoverage","OwnerMilestone","AcceptanceEvidence","Notes"
"NPC-001","P1.NPC.001","Teimo shopkeeper/pub owner/bicyclist","ServiceOrRelationship","Yes","Frozen04A1 GAME.unity SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4; STORE opening/speak/bicycle Move/Rotate/Waving/GetIn metadata inspected read-only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference;ConfigurationTransferred;CodePorted;TemporaryDirectImport;Reimplemented","Project-owned stable instance; shop 10:00-20:00, pub 20:00-02:00, two exact curved 37-point bicycle schedule blocks and timed shop-arrival block; dialogue/service event hook","PartiallyImplemented","Hash-locked donor character/register assets plus replaceable bicycle rider, frame, rotating tires/rims/pedals with procedural rider legs, exact tire contact, event-free greeting and stable-ID parked bicycle/service door presentation","npc.state schema 2 in save document v9 preserves schedule, route progress, flags, relationships, dialogue cooldowns and once-per-day bicycle greeting while streamed out","10B","NPC EditMode 16/16 + PlayMode 3/3; shop/register, bicycle presence and bounded revised motion/arrival iteration conditionally accepted 2026-08-02; final greeting/collision/fidelity comparison pending","Collision/ragdoll, full conditional dialogue/voice, bicycle audio and complete shop/pub mechanics remain dependencies"
"NPC-002","P1.NPC.002","Fleetari mechanic","ServiceOrRelationship","Yes","Frozen04A1 GAME.unity SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4; REPAIRSHOP opening/work/service metadata inspected read-only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference;TemporaryDirectImport","Project-owned stable instance at exact converted repair-shop anchor; weekday 08:00-16:00 schedule; dialogue/service event hook","PartiallyImplemented","Hash-locked donor bodymesh_1 plus shirt07/pants01/face02 textures in three HDRP material slots and compatible breathe clip; separate replacement keys","npc.state schema 2 in save document v9 covers streamed-out schedule, flags, relationships and dialogue cooldowns","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","Full donor dialogue/voice and repair/job domain behavior remain dependencies; manual 10B-R1 comparison pending"
"NPC-003","P1.NPC.003","Uncle Kesseli","Relationship","Yes","Frozen04A1 GAME.unity locked hash; Uncle Drinking/Home/Walking variants and exact actor transform inspected read-only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","Project-owned stable state and exact home anchor; hidden until the later vehicle-key/family event domain selects an evidenced variant","PartiallyImplemented","Hash-locked body, face/clothing, Gifu hat, glasses and compatible upper-body clip in replaceable wrapper","npc.state schema 2 in save document v12; v11->v12 migration preserves accepted rows and adds R2 identity","10B","NPC EditMode 16/16 + save migration 3/3; manual variant/placement comparison pending","Only one review wrapper is imported; exact Drinking/Home/Walking gates, voice and vehicle-key behavior remain dependencies"
"NPC-004","P1.NPC.004","Grandmother","Relationship","Yes","Frozen04A1 GAME.unity locked hash; home actor and inactive church variant inspected read-only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","Project-owned stable instance at exact converted home anchor with review availability baseline","PartiallyImplemented","Hash-locked grandmother body, dress/face textures, hat and compatible breathe clip in replaceable wrapper","npc.state schema 2 in save document v12 covers streamed-out state, flags, relationships and cooldowns","10B","NPC EditMode 16/16 + save migration 3/3; manual home pose/placement comparison pending","Church transition, exact weekly availability, gifts/food and donor voice remain dependencies"
"NPC-005","P1.NPC.005","Jokke / Kilju buyer and hiker","Relationship","Yes","Frozen04A1 GAME.unity locked hash; KiljuBuyer, Hiker1 and Hiker2/Suicidal variants inspected read-only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","One project-owned stable Jokke identity at exact converted buyer anchor with review availability baseline","PartiallyImplemented","Hash-locked buyer body/clothing/face, plastic chair and compatible breathe clip; hiker variants remain pending","npc.state schema 2 in save document v12 covers one identity across future variants","10B","NPC EditMode 16/16 + save migration 3/3; manual buyer pose/placement comparison pending","Kilju trade, rides, move, suicide chain, dialogue/voice and exact variant gates remain dependencies"
"NPC-006","P1.NPC.006","Suski","Relationship","Yes","Frozen04A1 store-hiker state plus user-confirmed initial Jani passenger and post-rescue store state; BetterMSC Suski prefab/avatar/car-sit hashes locked in Phase1StoryTrafficPresentationManifest.json","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","One project-owned stable identity: BetterMSC passenger is visible in Jani's car by default; flag.suski.rescued-from-jani-crash hides the passenger and activates the exact store-hiker anchor","PartiallyImplemented","BetterMSC model/materials and baked car-sit pose in Jani wrapper; locked donor standing wrapper after rescue; both use replaceable presentation keys","npc.state schema 2 in save document v13 persists the rescue flag; v12->v13 migration preserves accepted state","10B","NPC EditMode 16/16 + save migration 4/4; automated default/passenger/rescue/reload transition passed; manual in-world comparison pending","BetterMSC staged export contains presentation assets but no managed logic source; project-owned transition is reimplemented. Accident detection and the full P1.EVENT.007/010 graph remain pending"
"NPC-007","P1.NPC.007","Farmer","ServiceOrRelationship","Yes","Frozen04A1 GAME.unity SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4; JOBS/Farm move/target/job/dialogue metadata inspected read-only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference;TemporaryDirectImport","Project-owned stable instance; exact farm root plus six-target loop route; 06:00-20:00 work schedule; job event hook","PartiallyImplemented","Hash-locked donor bodymesh_1 plus shirt18/pants02/face08 texture identity in three HDRP material slots and compatible fat-standing clip; separate replacement keys","npc.state schema 2 in save document v9 covers streamed-out multi-waypoint progress, flags, relationships and dialogue cooldowns","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","Full hay/combine job state, donor dialogue/voice and manual route comparison remain dependencies"
"NPC-008","P1.NPC.008","Strawberry-field owner/berryman","ServiceOrRelationship","Yes","Frozen04A1 GAME.unity SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4; JOBS/StrawberryField opening/babble metadata inspected read-only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference;TemporaryDirectImport","Project-owned stable instance at exact strawberry-field anchor; 06:00-12:00 schedule; job event hook","PartiallyImplemented","Hash-locked donor bodymesh_2 plus shirt03/pants03/face03 textures in three HDRP material slots and compatible left-hand loop clip; separate replacement keys","npc.state schema 2 in save document v9 covers streamed-out schedule, flags, relationships and dialogue cooldowns","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","All four donor babble lines/voice mapping and full berry-sale job flow remain dependencies; manual 10B-R1 comparison pending"
"NPC-009","P1.NPC.009","Sewage customer 1","JobClient","Yes","Frozen04A1 GAME.unity locked hash; ShitMan1 actor/body/materials and exact transform inspected read-only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","Distinct stable customer at exact converted home anchor with review availability baseline","PartiallyImplemented","Hash-locked body/clothing/face and compatible upper-body clip in replaceable wrapper","npc.state schema 2 in save document v12 covers streamed state and job flags","10B","NPC EditMode 16/16 + save migration 3/3; manual location/presentation comparison pending","Septic-call/full-tank job gate, payment and voice belong to later job integration"
"NPC-010","P1.NPC.010","Sewage customer 2","JobClient","Yes","Frozen04A1 GAME.unity locked hash; ShitMan2 actor/body/materials and exact transform inspected read-only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","Distinct stable customer at exact converted home anchor with review availability baseline","PartiallyImplemented","Hash-locked body/clothing/face and compatible upper-body clip in replaceable wrapper","npc.state schema 2 in save document v12 covers streamed state and job flags","10B","NPC EditMode 16/16 + save migration 3/3; manual location/presentation comparison pending","Septic-call/full-tank job gate, payment and voice belong to later job integration"
