"RosterId","FeatureId","CallerOrEvent","Required","DonorEvidence","Classification","CurrentImplementation","Status","SaveCoverage","OwnerMilestone","AcceptanceEvidence","Notes"
"CALL-001","P1.COMMS.101","Fleetari","Yes","Frozen04A1 WOP phone caller roster","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Availability + call/dialogue/accept/missed/repeat + save + audio comparison","Exact schedule/dialogue pending"
"CALL-002","P1.COMMS.102","Drunk lift","Yes","Frozen04A1 WOP phone caller roster","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Availability + call/dialogue/accept/missed/repeat + save + audio comparison","Exact schedule/dialogue pending"
"CALL-003","P1.COMMS.103","Moving job","Yes","Frozen04A1 WOP phone caller roster","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Availability + call/dialogue/accept/missed/repeat + save + audio comparison","Exact schedule/dialogue pending"
"CALL-004","P1.COMMS.104","Grandmother","Yes","Frozen04A1 WOP phone caller roster","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Availability + call/dialogue/accept/missed/repeat + save + audio comparison","Exact schedule/dialogue pending"
"CALL-005","P1.COMMS.105","Suski","Yes","Frozen04A1 WOP phone caller roster","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Availability + call/dialogue/accept/missed/repeat + save + audio comparison","Exact schedule/dialogue pending"
"CALL-006","P1.COMMS.106","Uncle","Yes","Frozen04A1 WOP phone caller roster","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Availability + call/dialogue/accept/missed/repeat + save + audio comparison","Exact schedule/dialogue pending"
"CALL-007","P1.COMMS.107","Firewood customer","Yes","Frozen04A1 WOP phone caller roster","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Availability + call/dialogue/accept/missed/repeat + save + audio comparison","Exact schedule/dialogue pending"
"CALL-008","P1.COMMS.108","Salesman","Yes","Frozen04A1 WOP phone caller roster","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Availability + call/dialogue/accept/missed/repeat + save + audio comparison","Exact schedule/dialogue pending"
"CALL-009","P1.COMMS.109","Septic caller 01","Yes","Frozen04A1 WOP phone caller roster","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Availability + call/dialogue/accept/missed/repeat + save + audio comparison","Exact schedule/dialogue pending"
"CALL-010","P1.COMMS.110","Septic caller 02","Yes","Frozen04A1 WOP phone caller roster","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Availability + call/dialogue/accept/missed/repeat + save + audio comparison","Exact schedule/dialogue pending"
"CALL-011","P1.COMMS.111","Septic caller 03","Yes","Frozen04A1 WOP phone caller roster","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Availability + call/dialogue/accept/missed/repeat + save + audio comparison","Exact schedule/dialogue pending"
"CALL-012","P1.COMMS.112","Septic caller 04","Yes","Frozen04A1 WOP phone caller roster","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Availability + call/dialogue/accept/missed/repeat + save + audio comparison","Exact schedule/dialogue pending"
"CALL-013","P1.COMMS.113","Septic caller 05","Yes","Frozen04A1 WOP phone caller roster","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Availability + call/dialogue/accept/missed/repeat + save + audio comparison","Exact schedule/dialogue pending"
"CALL-014","P1.COMMS.114","Septic caller 06","Yes","Frozen04A1 WOP phone caller roster","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Availability + call/dialogue/accept/missed/repeat + save + audio comparison","Exact schedule/dialogue pending"
"CALL-015","P1.COMMS.115","Tohvakka/farmer","Yes","Frozen04A1 WOP phone caller roster","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Availability + call/dialogue/accept/missed/repeat + save + audio comparison","Exact schedule/dialogue pending"
"CALL-016","P1.COMMS.116","Wrong number","Yes","Frozen04A1 WOP phone caller roster","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Availability + call/dialogue/accept/missed/repeat + save + audio comparison","Exact schedule/dialogue pending"
"CALL-017","P1.COMMS.117","No connection","Yes","Frozen04A1 WOP phone caller roster","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Availability + call/dialogue/accept/missed/repeat + save + audio comparison","Exact schedule/dialogue pending"
"CALL-018","P1.COMMS.118","Cheat/debug candidate","No","Frozen04A1 WOP phone caller roster","BehavioralReference","Nothing","Unknown","None","12A","Availability + call/dialogue/accept/missed/repeat + save + audio comparison","Debug/reachability decision pending"

