"FeatureId","SaveDomainId","PersistentExpectation","CoverageStatus","SchemaOwner","CurrentImplementation","EvidenceOrReason","UnloadedCellPolicy","ReplacementPolicy","OwningMilestone","Notes"
"P1.SAVE.001","save.system","Persistent","Covered","MSC.Save.Runtime","Project-owned msc.native-save document version 17 with deterministic header/domain envelopes, validation and 15 registered production participants","Native save v17 retains the accepted storage foundation and adds the required vehicle.satsuma.key-access schema-1 domain; full Phase 1 persistence remains incomplete.","Immediate","NotApplicable","09A","C2 is additive. The delivered v16 build 024640 cannot read or safely rewrite a v17 slot; no live user save was changed during implementation."
"P1.SAVE.002","save.system","Persistent","Covered","MSC.Save.Runtime","09A registered native-save coverage; prior matrix state: Production Bootstrap owns native save composition; New Game, last-valid Continue, slot-list Load and in-session Save Status use real slot/provider data","09A native-save contract covers this implemented domain boundary; source implementation: Production Bootstrap owns native save composition; New Game, last-valid Continue, slot-list Load and in-session Save Status use real slot/provider data.","Immediate","NotApplicable","09A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.SAVE.003","save.system","Persistent","Covered","MSC.Save.Runtime","09A registered native-save coverage; prior matrix state: Native storage writes .tmp, flushes and rereads, atomically replaces current, retains .bak, quarantines corrupt files and can recover from validated candidates","09A native-save contract covers this implemented domain boundary; source implementation: Native storage writes .tmp, flushes and rereads, atomically replaces current, retains .bak, quarantines corrupt files and can recover from validated candidates.","Immediate","NotApplicable","09A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.SAVE.004","save.system","Persistent","Covered","MSC.Save.Runtime","Migration pipeline reaches document version 17; dependency-ordered preflight/checkpoint/apply/rollback and optional unknown-domain retention remain implemented","Migration 16->17 adds required vehicle.satsuma.key-access schema 1 with fresh access true from an immutable source; saved false applies in GlobalState and rolls back if a later participant fails. Production native save passed 1/1 with two clean-session RequestLoad cycles before reveal.","Immediate","NotApplicable","09A","Automated C2 save coverage is green; manual cockpit acceptance remains pending. No live user save was written."
"P1.SAVE.005","save.system","Persistent","Covered","MSC.Save.Runtime","09A registered native-save coverage; prior matrix state: DeferredStableEntityStore plus world/items/Satsuma/NPC/traffic participants restore project-owned IDs across unloaded cells; static-before-dynamic streaming handoff and critical recovery are implemented","09A native-save contract covers this implemented domain boundary; source implementation: DeferredStableEntityStore plus world/items/Satsuma/NPC/traffic participants restore project-owned IDs across unloaded cells; static-before-dynamic streaming handoff and critical recovery are implemented.","Immediate","NotApplicable","09A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.SAVE.006","save.system","Persistent","Partial","MSC.Save.Runtime","09A deterministic current-domain fixtures; full Phase 1 fresh/mid/late fixtures remain incremental","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Deterministic current-domain and subsystem round trips exist; no representative complete-game fresh/mid/late fixture can exist until all required persistent domains are implemented; prior save evidence: 11 Covered, 203 Partial, 310 Planned, 13 Uncovered, 19 NotRequired and 1 PendingDecision rows.","Immediate","NotApplicable","09A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.SAVE.007","save.system","PendingDecision","PendingDecision","MSC.Save.Runtime","Evidence gap","Optional donor importer is outside the native-save foundation; exact donor schema evidence is still missing and the decision remains pending.","NotApplicable","NotApplicable","09A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.PLAYER.001","player.state","Persistent","Partial","MSC.Player.Runtime + MSC.Save.Integration","Working bounded M04 FirstPersonMotor","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Working bounded M04 FirstPersonMotor; prior save evidence: None.","Immediate","NotApplicable","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.PLAYER.002","player.state","Persistent","Planned","MSC.Player.Runtime + MSC.Save.Integration","Nothing","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","Immediate","NotApplicable","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.PLAYER.003","player.state","Persistent","Partial","MSC.Player.Runtime + MSC.Save.Integration","Working bounded binary M04 crouch","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Working bounded binary M04 crouch; prior save evidence: None.","Immediate","NotApplicable","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.PLAYER.004","player.state","Persistent","Planned","MSC.Player.Runtime + MSC.Save.Integration","Nothing; current motor has one crouch only","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","Immediate","NotApplicable","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.PLAYER.005","player.state","NonPersistent","NotRequired","MSC.Player.Runtime + MSC.Save.Integration","FirstPersonMotor implements a sphere-cast-limited 40 degree forward body/view arc through the project LeanPivot, entering at project-tuned 150 degrees/s and returning at 120 degrees/s with obstruction and reset handling","Explicit non-persistent rationale from parity matrix: Non-persistent presentation/locomotion intent resets safely on session/input state changes. Mutable gameplay authority, when any, is owned by another save domain.","NotApplicable","NotApplicable","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.PLAYER.006","player.state","Persistent","Partial","MSC.Player.Runtime + MSC.Save.Integration","Working bounded M04 FirstPersonMotor","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Working bounded M04 FirstPersonMotor; prior save evidence: None.","Immediate","NotApplicable","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
