Scope,ScopeId,Total,Covered,CoveragePercent,Approved,ReferenceFallbacks,Missing,Blocked,Status,Notes
"Universe","CanonicalDonorInventory","13509","33","0.244282","0","0","13476","0","Partial","Includes 9667 classified non-world/excluded geometry records."
"Universe","ReferenceWorldEligible","3842","33","0.858928","0","1058","3809","0","Partial","Primary FullWorld replacement denominator."
"System","ApprovedOrVerifiedReplacements","3842","0","0.000000","0","0","3842","0","Missing","FirstPass and ProductionCandidate are not promoted to Approved/Verified."
"System","ProductionBoundCells","49","2","4.081633","0","0","47","0","Partial","Direct donor-record production bindings in: cell_0_-2;cell_0_-3"
"EligibleCategory","Bridge","2","0","0.000000","0","0","2","0","Missing","Direct stable-ID production replacement coverage over ReferenceWorldEligible records."
"EligibleCategory","BuildingExterior","1568","18","1.147959","0","0","1550","0","Partial","Direct stable-ID production replacement coverage over ReferenceWorldEligible records."
"EligibleCategory","BuildingInterior","211","3","1.421801","0","0","208","0","Partial","Direct stable-ID production replacement coverage over ReferenceWorldEligible records."
"EligibleCategory","ColliderOnly","772","2","0.259067","0","0","770","0","Partial","Direct stable-ID production replacement coverage over ReferenceWorldEligible records."
"EligibleCategory","Door","120","1","0.833333","0","0","119","0","Partial","Direct stable-ID production replacement coverage over ReferenceWorldEligible records."
"EligibleCategory","Fence","18","0","0.000000","0","0","18","0","Missing","Direct stable-ID production replacement coverage over ReferenceWorldEligible records."
"EligibleCategory","Field","2","0","0.000000","0","0","2","0","Missing","Direct stable-ID production replacement coverage over ReferenceWorldEligible records."
"EligibleCategory","Floor","23","0","0.000000","0","0","23","0","Missing","Direct stable-ID production replacement coverage over ReferenceWorldEligible records."
"EligibleCategory","InteractivePropCandidate","395","0","0.000000","0","0","395","0","Missing","Direct stable-ID production replacement coverage over ReferenceWorldEligible records."
"EligibleCategory","Landmark","9","0","0.000000","0","0","9","0","Missing","Direct stable-ID production replacement coverage over ReferenceWorldEligible records."
"EligibleCategory","Road","29","0","0.000000","0","0","29","0","Missing","Direct stable-ID production replacement coverage over ReferenceWorldEligible records."
"EligibleCategory","RoadSign","163","0","0.000000","0","0","163","0","Missing","Direct stable-ID production replacement coverage over ReferenceWorldEligible records."
"EligibleCategory","Rock","3","0","0.000000","0","0","3","0","Missing","Direct stable-ID production replacement coverage over ReferenceWorldEligible records."
"EligibleCategory","Roof","124","2","1.612903","0","0","122","0","Partial","Direct stable-ID production replacement coverage over ReferenceWorldEligible records."
"EligibleCategory","SpawnMarker","14","0","0.000000","0","0","14","0","Missing","Direct stable-ID production replacement coverage over ReferenceWorldEligible records."
"EligibleCategory","StaticProp","265","4","1.509434","0","0","261","0","Partial","Direct stable-ID production replacement coverage over ReferenceWorldEligible records."
"EligibleCategory","Terrain","1","0","0.000000","0","0","1","0","Missing","Direct stable-ID production replacement coverage over ReferenceWorldEligible records."
"EligibleCategory","UtilityPole","14","0","0.000000","0","0","14","0","Missing","Direct stable-ID production replacement coverage over ReferenceWorldEligible records."
"EligibleCategory","VegetationBush","7","0","0.000000","0","0","7","0","Missing","Direct stable-ID production replacement coverage over ReferenceWorldEligible records."
"EligibleCategory","VegetationGrass","3","0","0.000000","0","0","3","0","Missing","Direct stable-ID production replacement coverage over ReferenceWorldEligible records."
"EligibleCategory","VegetationTree","16","0","0.000000","0","0","16","0","Missing","Direct stable-ID production replacement coverage over ReferenceWorldEligible records."
"EligibleCategory","Water","12","0","0.000000","0","0","12","0","Missing","Direct stable-ID production replacement coverage over ReferenceWorldEligible records."
"EligibleCategory","Window","67","1","1.492537","0","0","66","0","Partial","Direct stable-ID production replacement coverage over ReferenceWorldEligible records."
"EligibleCategory","Wire","4","2","50.000000","0","0","2","0","Partial","Direct stable-ID production replacement coverage over ReferenceWorldEligible records."
"Zone","cell_-1_-1","8","0","0.000000","0","0","8","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_-1_-2","1","0","0.000000","0","0","1","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_-1_-3","5","0","0.000000","0","0","5","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_-1_-4","9","0","0.000000","0","0","9","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_-1_-5","49","0","0.000000","0","0","49","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_-1_0","28","0","0.000000","0","0","28","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_-1_1","20","0","0.000000","0","0","20","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_-2_-2","120","0","0.000000","0","0","120","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_-2_-3","14","0","0.000000","0","0","14","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_-2_-4","106","0","0.000000","0","0","106","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_-2_-5","5","0","0.000000","0","0","5","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_-2_0","65","0","0.000000","0","0","65","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_-2_1","15","0","0.000000","0","0","15","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_-3_-1","17","0","0.000000","0","0","17","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_-3_-2","11","0","0.000000","0","0","11","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_-3_-3","25","0","0.000000","0","0","25","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_-3_-4","166","0","0.000000","0","0","166","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_-3_0","1456","0","0.000000","0","0","1456","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_-4_-1","8","0","0.000000","0","0","8","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_-4_-3","11","0","0.000000","0","0","11","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_-4_0","19","0","0.000000","0","0","19","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_-4_1","11","0","0.000000","0","0","11","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_0_-1","87","0","0.000000","0","0","87","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_0_-2","15","9","60.000000","0","0","6","0","Partial","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_0_-3","671","24","3.576751","0","0","647","0","Partial","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_0_-4","29","0","0.000000","0","0","29","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_0_-5","23","0","0.000000","0","0","23","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_0_0","9","0","0.000000","0","0","9","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_0_1","4","0","0.000000","0","0","4","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_1_-3","2","0","0.000000","0","0","2","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_1_-5","26","0","0.000000","0","0","26","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_1_0","124","0","0.000000","0","0","124","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_1_1","17","0","0.000000","0","0","17","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_1_2","11","0","0.000000","0","0","11","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_2_-1","15","0","0.000000","0","0","15","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_2_-2","3","0","0.000000","0","0","3","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_2_-4","26","0","0.000000","0","0","26","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_2_-5","12","0","0.000000","0","0","12","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_3_-1","429","0","0.000000","0","0","429","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_3_-2","4","0","0.000000","0","0","4","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_3_-4","57","0","0.000000","0","0","57","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_3_-5","23","0","0.000000","0","0","23","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_3_0","1","0","0.000000","0","0","1","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_4_-2","3","0","0.000000","0","0","3","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_4_-3","44","0","0.000000","0","0","44","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_4_-4","1","0","0.000000","0","0","1","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_4_-5","4","0","0.000000","0","0","4","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_4_1","1","0","0.000000","0","0","1","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","cell_5_-2","1","0","0.000000","0","0","1","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Zone","global","31","0","0.000000","0","0","31","0","Missing","Direct stable-ID bindings; project-authored supplemental safety pieces are reported separately."
"Supplemental","M05C1SafetyTopology","2","2","100.000000","2","0","0","0","ApprovedBoundedPilot","Project-owned safety topology; excluded from donor replacement percentages and current Build Settings."
"ReferenceRepresentation","ActualMesh","3842","2784","72.462260","0","1058","1058","0","ReferenceOnly","05C reference geometry representation, not production coverage."
"ObservedContent","InstanceTriangles","159548","159548","100.000000","0","0","0","0","CountOnly","Fresh instance-counted mesh scan. This is an observed count, not a full-world completion percentage."
"ObservedContent","ProductionColliders","164","164","100.000000","0","0","0","0","CountOnly","Fresh production-prefab scan. This is an observed count, not a full-world completion percentage."
"ObservedContent","ProductionLodGroups","67","67","100.000000","0","0","0","0","CountOnly","Fresh production-prefab scan. This is an observed count, not a full-world completion percentage."
"ObservedContent","ProductionRenderers","370","370","100.000000","0","0","0","0","CountOnly","Fresh production-prefab scan. This is an observed count, not a full-world completion percentage."
