ZoneId,ReferenceRecordCount,MappedRecordCount,CoveragePercent,ReplacementStatus,AutomatedValidation,ManualValidation,ProductionCellPath,Notes
"cell_0_-3","671","24","3.577","ProductionCandidate","Generated;ValidationRequired","DoorGatePass;LightingReadabilityLow;M4TraversalPass;PerformancePending","Assets/Game/World/Generated/ProductionCells/Production_cell_0_-3.unity","Bounded home/garage pilot; raw-record coverage is intentionally not full-zone completion."
"cell_0_-2","15","9","60.000","ProductionCandidate","Generated;ValidationRequired","TraversalPass;WaterPass;HedgePass;VisualReferencePending;PerformancePending","Assets/Game/World/Generated/ProductionCells/Production_cell_0_-2.unity","Batch 01 bounded HomeShorelinePier sub-zone; traversal/water/hedge manual review passed; visual reference/performance and six unrelated gameplay records remain pending."
"cell_-1_-1","8","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_-1_-2","1","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_-1_-3","5","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_-1_-4","9","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_-1_-5","49","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_-1_0","28","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_-1_1","20","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_-2_-2","120","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_-2_-3","14","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_-2_-4","106","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_-2_-5","5","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_-2_0","65","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_-2_1","15","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_-3_-1","17","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_-3_-2","11","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_-3_-3","25","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_-3_-4","166","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_-3_0","1456","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_-4_-1","8","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_-4_-3","11","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_-4_0","19","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_-4_1","11","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_0_-1","87","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_0_-4","29","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_0_-5","23","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_0_0","9","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_0_1","4","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_1_-3","2","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_1_-5","26","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_1_0","124","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_1_1","17","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_1_2","11","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_2_-1","15","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_2_-2","3","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_2_-4","26","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_2_-5","12","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_3_-1","429","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_3_-2","4","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
