"RosterId","FeatureId","Activity","Category","Required","DonorEvidence","BehaviorSummary","Classification","CurrentImplementation","Status","SaveCoverage","OwnerMilestone","AcceptanceEvidence","Notes"
"JOB-001","P1.JOB.001","Sewage pumping and delivery/payment across five clients","UtilityJob","Yes","Frozen04A1 JOBS/Farm/Mummola/House*/TeimoADs/RALLY/DRAGRACE hierarchy","Prerequisite, offer, active states, fail/cancel/repeat, payment and consequences","BehavioralReference","Nothing","EvidenceCaptured","None","12B","End-to-end donor comparison and reload at every state","No permanent quest tracker; contextual feedback only"
"JOB-002","P1.JOB.002","Firewood chopping, loading and delivery","DeliveryJob","Yes","Frozen04A1 JOBS/Farm/Mummola/House*/TeimoADs/RALLY/DRAGRACE hierarchy","Prerequisite, offer, active states, fail/cancel/repeat, payment and consequences","BehavioralReference","Nothing","EvidenceCaptured","None","12B","End-to-end donor comparison and reload at every state","No permanent quest tracker; contextual feedback only"
"JOB-003","P1.JOB.003","Kilju brewing, bottling and sale","CraftTradeJob","Yes","Frozen04A1 JOBS/Farm/Mummola/House*/TeimoADs/RALLY/DRAGRACE hierarchy","Prerequisite, offer, active states, fail/cancel/repeat, payment and consequences","BehavioralReference","Nothing","EvidenceCaptured","None","12B","End-to-end donor comparison and reload at every state","No permanent quest tracker; contextual feedback only"
"JOB-004","P1.JOB.004","Hay-bale collection and delivery","FarmJob","Yes","Frozen04A1 JOBS/Farm/Mummola/House*/TeimoADs/RALLY/DRAGRACE hierarchy","Prerequisite, offer, active states, fail/cancel/repeat, payment and consequences","BehavioralReference","Nothing","EvidenceCaptured","None","12B","End-to-end donor comparison and reload at every state","No permanent quest tracker; contextual feedback only"
"JOB-005","P1.JOB.005","Combine delivery/return","FarmJob","Yes","Frozen combine delivery target/audio evidence","Prerequisite, offer, delivery/return, outcome and persistence","BehavioralReference","Nothing","EvidenceCaptured","None","12B","End-to-end donor comparison and reload at every state","Harvesting not claimed without evidence"
"JOB-006","P1.JOB.006","Strawberry picking and payment","FieldJob","Yes","Frozen04A1 JOBS/Farm/Mummola/House*/TeimoADs/RALLY/DRAGRACE hierarchy","Prerequisite, offer, active states, fail/cancel/repeat, payment and consequences","BehavioralReference","Nothing","EvidenceCaptured","None","12B","End-to-end donor comparison and reload at every state","No permanent quest tracker; contextual feedback only"
"JOB-007","P1.JOB.007","Junk-car towing/recovery variants","VehicleRecoveryJob","Yes","Frozen04A1 JOBS/Farm/Mummola/House*/TeimoADs/RALLY/DRAGRACE hierarchy","Prerequisite, offer, active states, fail/cancel/repeat, payment and consequences","BehavioralReference","Nothing","EvidenceCaptured","None","12B","End-to-end donor comparison and reload at every state","No permanent quest tracker; contextual feedback only"
"JOB-008","P1.JOB.008","Fleetari advertisement delivery","DeliveryJob","Yes","Frozen04A1 JOBS/Farm/Mummola/House*/TeimoADs/RALLY/DRAGRACE hierarchy","Prerequisite, offer, active states, fail/cancel/repeat, payment and consequences","BehavioralReference","Nothing","EvidenceCaptured","None","12B","End-to-end donor comparison and reload at every state","No permanent quest tracker; contextual feedback only"
"JOB-009","P1.JOB.009","Fleetari vandalism request and outcome","IllegalJob","Yes","Frozen04A1 JOBS/Farm/Mummola/House*/TeimoADs/RALLY/DRAGRACE hierarchy","Prerequisite, offer, active states, fail/cancel/repeat, payment and consequences","BehavioralReference","Nothing","EvidenceCaptured","None","12B","End-to-end donor comparison and reload at every state","No permanent quest tracker; contextual feedback only"
"JOB-010","P1.JOB.010","Jokke ride home","TransportJob","Yes","Frozen04A1 JOBS/Farm/Mummola/House*/TeimoADs/RALLY/DRAGRACE hierarchy","Prerequisite, offer, active states, fail/cancel/repeat, payment and consequences","BehavioralReference","Nothing","EvidenceCaptured","None","12B","End-to-end donor comparison and reload at every state","No permanent quest tracker; contextual feedback only"
"JOB-011","P1.JOB.011","Jokke house moving/furniture transport","MovingJob","Yes","Frozen04A1 JOBS/Farm/Mummola/House*/TeimoADs/RALLY/DRAGRACE hierarchy","Prerequisite, offer, active states, fail/cancel/repeat, payment and consequences","BehavioralReference","Nothing","EvidenceCaptured","None","12B","End-to-end donor comparison and reload at every state","No permanent quest tracker; contextual feedback only"
"JOB-012","P1.JOB.012","Grandmother food/fish delivery","FamilyErrand","Yes","Frozen04A1 JOBS/Farm/Mummola/House*/TeimoADs/RALLY/DRAGRACE hierarchy","Prerequisite, offer, active states, fail/cancel/repeat, payment and consequences","BehavioralReference","Nothing","EvidenceCaptured","None","12B","End-to-end donor comparison and reload at every state","No permanent quest tracker; contextual feedback only"
"JOB-013","P1.JOB.013","Grandmother transport/church schedule","FamilyTransport","Yes","Frozen04A1 JOBS/Farm/Mummola/House*/TeimoADs/RALLY/DRAGRACE hierarchy","Prerequisite, offer, active states, fail/cancel/repeat, payment and consequences","BehavioralReference","Nothing","EvidenceCaptured","None","12B","End-to-end donor comparison and reload at every state","No permanent quest tracker; contextual feedback only"
"JOB-014","P1.JOB.014","Teimo advertisement distribution","DeliveryJob","Yes","Frozen04A1 JOBS/Farm/Mummola/House*/TeimoADs/RALLY/DRAGRACE hierarchy","Prerequisite, offer, active states, fail/cancel/repeat, payment and consequences","BehavioralReference","Nothing","EvidenceCaptured","None","12B","End-to-end donor comparison and reload at every state","No permanent quest tracker; contextual feedback only"
"JOB-015","P1.JOB.015","Wastewater disposal interaction","UtilityActivity","Yes","Frozen04A1 JOBS/Farm/Mummola/House*/TeimoADs/RALLY/DRAGRACE hierarchy","Prerequisite, offer, active states, fail/cancel/repeat, payment and consequences","BehavioralReference","Nothing","EvidenceCaptured","None","12B","End-to-end donor comparison and reload at every state","No permanent quest tracker; contextual feedback only"
"JOB-016","P1.JOB.016","Wood cutting and carrier handling","WorkActivity","Yes","Frozen04A1 JOBS/Farm/Mummola/House*/TeimoADs/RALLY/DRAGRACE hierarchy","Prerequisite, offer, active states, fail/cancel/repeat, payment and consequences","BehavioralReference","Nothing","EvidenceCaptured","None","12B","End-to-end donor comparison and reload at every state","No permanent quest tracker; contextual feedback only"
"JOB-017","P1.JOB.017","Vehicle service drop-off/pickup flow","ServiceActivity","Yes","Frozen04A1 JOBS/Farm/Mummola/House*/TeimoADs/RALLY/DRAGRACE hierarchy","Prerequisite, offer, active states, fail/cancel/repeat, payment and consequences","BehavioralReference","Nothing","EvidenceCaptured","None","12B","End-to-end donor comparison and reload at every state","No permanent quest tracker; contextual feedback only"
"JOB-018","P1.JOB.018","Drag-race participation","CompetitionActivity","Yes","Frozen04A1 JOBS/Farm/Mummola/House*/TeimoADs/RALLY/DRAGRACE hierarchy","Prerequisite, offer, active states, fail/cancel/repeat, payment and consequences","BehavioralReference","Nothing","EvidenceCaptured","None","12B","End-to-end donor comparison and reload at every state","No permanent quest tracker; contextual feedback only"
