"RosterId","FeatureId","Offense","Required","DonorEvidence","Classification","CurrentImplementation","Status","SaveCoverage","OwnerMilestone","AcceptanceEvidence","Notes"
"OFF-001","P1.AUTHORITY.101","Speeding","Yes","Frozen04A1 WOP reason Speeding","BehavioralReference","Nothing","EvidenceCaptured","None","13B","Trigger/detection + fine/escalation + UI/audio + save comparison","Threshold/calculation pending"
"OFF-002","P1.AUTHORITY.102","Speeding over 80","Yes","Frozen04A1 WOP reason Speeding80","BehavioralReference","Nothing","EvidenceCaptured","None","13B","Trigger/detection + fine/escalation + UI/audio + save comparison","Threshold/calculation pending"
"OFF-003","P1.AUTHORITY.103","DUI","Yes","Frozen04A1 WOP reason DUI","BehavioralReference","Nothing","EvidenceCaptured","None","13B","Trigger/detection + fine/escalation + UI/audio + save comparison","Threshold/calculation pending"
"OFF-004","P1.AUTHORITY.104","Environmental offense","Yes","Frozen04A1 WOP reason Environment","BehavioralReference","Nothing","EvidenceCaptured","None","13B","Trigger/detection + fine/escalation + UI/audio + save comparison","Threshold/calculation pending"
"OFF-005","P1.AUTHORITY.105","Wrong fuel offense","Yes","Frozen04A1 WOP reason WrongFuel","BehavioralReference","Nothing","EvidenceCaptured","None","13B","Trigger/detection + fine/escalation + UI/audio + save comparison","Threshold/calculation pending"
"OFF-006","P1.AUTHORITY.106","Helmet violation","Yes","Frozen04A1 WOP reason Helmet","BehavioralReference","Nothing","EvidenceCaptured","None","13B","Trigger/detection + fine/escalation + UI/audio + save comparison","Threshold/calculation pending"
"OFF-007","P1.AUTHORITY.107","Ignoring stop order","Yes","Frozen04A1 WOP reason IgnoreStop","BehavioralReference","Nothing","EvidenceCaptured","None","13B","Trigger/detection + fine/escalation + UI/audio + save comparison","Threshold/calculation pending"
"OFF-008","P1.AUTHORITY.108","Motorcycle class violation","Yes","Frozen04A1 WOP reason MotorcycleClass","BehavioralReference","Nothing","EvidenceCaptured","None","13B","Trigger/detection + fine/escalation + UI/audio + save comparison","Threshold/calculation pending"
"OFF-009","P1.AUTHORITY.109","No inspection","Yes","Frozen04A1 WOP reason NoInspection","BehavioralReference","Nothing","EvidenceCaptured","None","13B","Trigger/detection + fine/escalation + UI/audio + save comparison","Threshold/calculation pending"
"OFF-010","P1.AUTHORITY.110","No plates","Yes","Frozen04A1 WOP reason NoPlates","BehavioralReference","Nothing","EvidenceCaptured","None","13B","Trigger/detection + fine/escalation + UI/audio + save comparison","Threshold/calculation pending"
"OFF-011","P1.AUTHORITY.111","Officer attack","Yes","Frozen04A1 WOP reason OfficerAttack","BehavioralReference","Nothing","EvidenceCaptured","None","13B","Trigger/detection + fine/escalation + UI/audio + save comparison","Threshold/calculation pending"
"OFF-012","P1.AUTHORITY.112","Radar detector offense","Yes","Frozen04A1 WOP reason RadarDetector","BehavioralReference","Nothing","EvidenceCaptured","None","13B","Trigger/detection + fine/escalation + UI/audio + save comparison","Threshold/calculation pending"
"OFF-013","P1.AUTHORITY.113","Seatbelt violation","Yes","Frozen04A1 WOP reason Seatbelt","BehavioralReference","Nothing","EvidenceCaptured","None","13B","Trigger/detection + fine/escalation + UI/audio + save comparison","Threshold/calculation pending"
"OFF-014","P1.AUTHORITY.114","Taxation offense","Yes","Frozen04A1 WOP reason Taxation","BehavioralReference","Nothing","EvidenceCaptured","None","13B","Trigger/detection + fine/escalation + UI/audio + save comparison","Threshold/calculation pending"

