"FeatureId","Domain","FeatureName","Required","DonorVersionEvidence","DonorSources","PlayerVisibleBehavior","Dependencies","CurrentImplementation","Status","LegacyPresentation","SaveCoverage","UITelemetry","AudioCoverage","TestCoverage","KnownDifferences","OwnerMilestone","HumanDecision","Notes"
"P1.SAVE.001","Save","Версионированный native save document и schema","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen managed type/FSM metadata; Docs/SAVE_SYSTEM.md; Assets/Game/Save/Runtime/SaveDocument.cs; Docs/Save/NATIVE_SAVE_ARCHITECTURE.md","Версионированный native save document и schema","StableEntityId; Bootstrap; UI","Project-owned msc.native-save document version 16 with deterministic header/domain envelopes, validation and 14 registered current-domain participants","ImplementedUnverified","08A New/Continue/Load and Save Status remain project-owned","Save core Covered; complete Phase 1 domain coverage remains 11 Covered, 203 Partial, 310 Planned and 13 Uncovered rows","Real slot metadata, operation state and failure/recovery UI are bound","None","M09A core/storage/integration/UI suites passed; later migration/domain tests exist; complete-game round trip remains pending","Independent deterministic JSON format intentionally differs from donor ES2/UniqueSaveManager; exact donor save schema is still unknown","09A","Manual full-game acceptance pending","No donor save manager, hierarchy name or Unity instance ID is runtime authority"
"P1.SAVE.002","Save","Слоты New Game / Continue / Load","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen managed type/FSM metadata; Docs/SAVE_SYSTEM.md; Assets/Game/Save/Runtime; Assets/Game/UI/Presentation/Runtime","Слоты New Game / Continue / Load","StableEntityId; Bootstrap; UI","Production Bootstrap owns native save composition; New Game, last-valid Continue, slot-list Load and in-session Save Status use real slot/provider data","ImplementedUnverified","Accepted 08A menu structure is retained and bound to real capabilities","Slot metadata, startup load and current-session save are implemented; late-game coverage remains incomplete","New/Continue/Load/Save Status and recovery/failure feedback are live","None","M09A UI Runtime/EditMode and UI Presentation PlayMode routes passed; fresh current-tree full manual route pending","Load performs a clean Bootstrap reload instead of donor runtime scene/save-manager behavior","09A","Manual production New/Continue/Load acceptance pending","Corrupt slots fail closed and UI does not claim unavailable data as available"
"P1.SAVE.003","Save","Атомарная запись, backup, quarantine и recovery","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen managed type/FSM metadata; Docs/SAVE_SYSTEM.md; Assets/Game/Save/Runtime; Docs/Save/NATIVE_SAVE_ARCHITECTURE.md","Атомарная запись, backup, quarantine и recovery","StableEntityId; Bootstrap; UI","Native storage writes .tmp, flushes and rereads, atomically replaces current, retains .bak, quarantines corrupt files and can recover from validated candidates","ImplementedUnverified","Project-owned status/toast feedback","Storage/recovery Covered for the native format","Busy, failure and recovered-slot feedback are implemented","None","M09A corruption, integrity, backup, quarantine and recovery suites passed; real-device destructive-copy exercise remains manual","Policy is project-owned and intentionally safer/different from the donor implementation","09A","Manual recovery exercise pending","Recovery preserves the corrupt source in quarantine and never rewrites donor saves"
"P1.SAVE.004","Save","Миграции schema и transaction-safe apply","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen managed type/FSM metadata; Docs/SAVE_SYSTEM.md; Assets/Game/Save/Migration; Assets/Game/Save/Runtime","Миграции schema и transaction-safe apply","StableEntityId; Bootstrap; UI","Migration pipeline reaches document version 16; dependency-ordered preflight/checkpoint/apply/rollback and optional unknown-domain retention are implemented","ImplementedUnverified","Failure and unresolved-content reports use project-owned UI/tooling","Current registered domains have migration/application coverage; absent future domains cannot yet participate","Migration/load failure is reported without partial world mutation","None","Core migration/rollback and later per-domain migration tests exist; complete late-game migration fixture remains pending","Native schema is independent from donor save layout; optional donor importer remains a separate pending decision","09A","Manual late-game migration acceptance pending","A failed migration preserves the source slot and fails closed"
"P1.SAVE.005","Save","Stable entity snapshots включая unloaded cells","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen managed type/FSM metadata; Docs/SAVE_SYSTEM.md; Assets/Game/Save/Runtime; Assets/Game/Save/Integration","Stable entity snapshots включая unloaded cells","StableEntityId; Bootstrap; UI","DeferredStableEntityStore plus world/items/Satsuma/NPC/traffic participants restore project-owned IDs across unloaded cells; static-before-dynamic streaming handoff and critical recovery are implemented","PartiallyImplemented","Presentation remains replaceable and is not serialized as authority","Covered for current registered entities; jobs, communications, progression, authority, rally, media and generic vehicles remain missing","Inspector exposes deferred/unresolved IDs and load status","None","Recent streaming handoff 6/6 and vehicle recovery 1/1 passed; representative full-game unloaded-cell matrix is incomplete","Coverage is limited to registered project-owned domains; no concrete state exists for absent feature domains","09A","Manual representative world route pending","No donor hierarchy path or instance ID is used; complete aggregate coverage remains a Phase 1 gate"
"P1.SAVE.006","Save","Fresh / mid-game / late-game cross-domain round trips","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen managed type/FSM metadata; Docs/SAVE_SYSTEM.md; Assets/Game/Save/Runtime; Docs/Save/FULL_GAME_SAVE_COVERAGE.csv","Fresh / mid-game / late-game cross-domain round trips","StableEntityId; Bootstrap; UI","Deterministic current-domain and subsystem round trips exist; no representative complete-game fresh/mid/late fixture can exist until all required persistent domains are implemented","PartiallyImplemented","Current required presentation restores through stable IDs/replacement keys where registered","11 Covered, 203 Partial, 310 Planned, 13 Uncovered, 19 NotRequired and 1 PendingDecision rows","Save/load status UI exists; missing domains provide no fake telemetry","None","Bounded subsystem fixtures exist; representative complete-game playthrough/save matrix is not executed","Jobs, communications, story, authority, rally, media and non-Satsuma vehicles prevent full cross-domain closure","09A","Pending until all owner milestones complete","This row cannot become Verified from save-core tests alone"
"P1.SAVE.007","Save","Read-only donor save schema evidence и optional importer decision","No","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen ES2/UniqueSaveManager type indicators; donor save content not captured","Read-only donor save schema evidence и optional importer decision","StableEntityId; Bootstrap; UI","Evidence gap","Blocked","Not applicable","Not applicable","None","None","None","Exact donor schema unknown; importer optional","09A","Pending decision after evidence","Does not block native save foundation; must preserve original donor saves"
"P1.PLAYER.001","Player","Ходьба и analog movement","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen FPSInputController PlayerHorizontal/PlayerVertical; GAME CharacterMotor and WalkSpeed FSM; current FirstPersonMotor","Directional/analog walking with capped diagonal speed and donor-matched acceleration","Input System; Player motor; World collision; Interaction","Working bounded M04 FirstPersonMotor","PartiallyImplemented","Current first-person camera/crossdot; no full body","None","None","Footstep audio presenter partial","No donor-comparison speed fixture","Serialized base speed 2 and MaxWalkSpeed 3 are evidence, not normalized runtime truth","09C","Pending","Capture five bidirectional trials plus partial analog and diagonal cap before verification"
"P1.PLAYER.002","Player","Бег с donor-compatible input, скоростью и needs cost","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen GAME Running FSM: cInput action Run; WALK release; movement/thirst/fatigue/dirtiness coupling","Hold/release Run changes gait and donor-evidenced need rates","Input System; Player motor; Needs; World collision","Nothing","EvidenceCaptured","Current first-person camera only","None","None","None","No run implementation/tests","Exact speed, transition and need deltas are explicitly missing capture; do not infer Shift binding","09C","Pending","Five-run distance/time capture plus release and need-delta assertions required"
"P1.PLAYER.003","Player","Первый уровень приседа","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen GAME Crouch FSM: standing 1.4; crouch1 0.85; crouch speed 1; CrouchTrigger evidence","Repeated Crouch input transitions standing to level 1 with correct camera/collider clearance","Input System; Player motor; World collision; Interaction","Working bounded binary M04 crouch","PartiallyImplemented","Current first-person camera; no full body","None","None","None","No donor-comparison posture fixture","Current crouch is binary and not donor-verified","09C","Pending","Capture transition duration, collider height, speed, low-clearance and interruption behavior"
