"RecordKind","SourceClassId","TypeOrRule","EligibleRecordCount","RuntimeBaselineEntityComponentCount","Decision","Disposition","Notes"
"SourceComponent","4","UnityEngine.Transform","3842","3842","AllowRecreatedData","Whitelisted","Position rotation scale and effective activation are recreated from hash-locked project data."
"SourceComponent","23","UnityEngine.MeshRenderer","2977","2605","ConditionalAllow","WhitelistedStaticOnly","Generated only when usable mesh MeshFilter contract non-skinned and non-character-hierarchy rules pass."
"SourceComponent","33","UnityEngine.MeshFilter","2866","2605","ConditionalAllow","WhitelistedStaticOnly","Generated as a pair with an accepted static MeshRenderer."
"SourceComponent","54","UnityEngine.Rigidbody","234","0","Exclude","ForbiddenRuntimeLogic","Physics bodies are not map-presentation data; collision and ownership are deferred."
"SourceComponent","64","UnityEngine.MeshCollider","437","0","Exclude","CollisionDeferred06B2","Source metadata remains in M04A1_WorldColliders.csv; render meshes are not promoted automatically."
"SourceComponent","65","UnityEngine.BoxCollider","519","0","Exclude","CollisionDeferred06B2","Primitive candidates require trigger gameplay-intent and ownership audit."
"SourceComponent","82","UnityEngine.AudioSource","8","0","Exclude","ForbiddenAudio","Donor audio and event routing are outside the world baseline."
"SourceComponent","102","UnityEngine.TextMesh","117","0","Exclude","DeferredPresentation","Legacy text/sign presentation is not reconstructed in 06B1."
"SourceComponent","111","UnityEngine.Animation","10","0","Exclude","ForbiddenRuntimeLogic","Donor animation state and callbacks are not transferred."
"SourceComponent","114","Donor MonoBehaviour","559","0","Exclude","ForbiddenDonorCode","No donor script PlayMaker FSM or serialized MonoBehaviour is created."
"SourceComponent","135","UnityEngine.SphereCollider","276","0","Exclude","CollisionDeferred06B2","Source metadata retained only."
"SourceComponent","136","UnityEngine.CapsuleCollider","256","0","Exclude","CollisionDeferred06B2","Source metadata retained only."
"SourceComponent","137","UnityEngine.SkinnedMeshRenderer","62","0","Exclude","MetadataOnly","Skinned character or deformable geometry is outside map-only scope."
"SourceComponent","138","UnityEngine.FixedJoint","27","0","Exclude","ForbiddenRuntimeLogic","Joint relationships are not static world presentation."
"SourceComponent","144","UnityEngine.CharacterJoint","46","0","Exclude","ForbiddenCharacterPhysics","Ragdoll and character physics are outside map-only scope."
"SourceComponent","183","UnityEngine.Cloth","7","0","Exclude","ForbiddenCharacterPresentation","Cloth simulation is not transferred."
"SourceComponent","198","UnityEngine.ParticleSystem","1","0","Exclude","ForbiddenEffects","Donor particles and weather/effects logic are excluded."
"SourceComponent","199","UnityEngine.ParticleSystemRenderer","1","0","Exclude","ForbiddenEffects","Donor particle presentation is excluded."
"SourceComponent","205","UnityEngine.LODGroup","8","0","Exclude","DeferredPresentation","LOD membership is not reconstructed until a safe reviewed mapping exists."
"SanitationReason","","NoUsableMeshGuid","1058","0","MetadataOnly","MetadataOnly","Entity metadata and transform are retained but no renderer is generated."
"SanitationReason","137","SkinnedMeshRendererExcluded","62","0","MetadataOnly","MetadataOnly","Skinned renderer records are excluded even when mesh metadata exists."
"SanitationReason","","CharacterHierarchyExcluded","117","0","MetadataOnly","MetadataOnly","Static renderer candidates under /skeleton/ are excluded because people and character accessories are later scope."
"SanitationSummary","","RendererAccepted","2605","2605","Allow","RendererAccepted","2123 renderers are effective-active and 482 retain donor effective-inactive state."
"SanitationSummary","","MetadataOnlyTotal","1237","0","RetainMetadata","MetadataOnly","1058 missing mesh plus 62 skinned plus 117 character hierarchy."
"ProjectComponent","","MSC.LegacyImport.DonorWorldBaselineEntityMetadata","0","3842","AllowProjectOwned","Whitelisted","Stores stable identity provenance source activation and replacement metadata."
"ProjectComponent","","MSC.LegacyImport.DonorWorldBaselineSceneMetadata","0","1","AllowProjectOwned","Whitelisted","Stores source revision classification transform contract counts and fingerprints."
"ProjectComponent","","UnityEngine.Light","0","1","AllowProjectOwned","WhitelistedNeutralDevelopmentOnly","Single shadowless directional light; no donor lighting data."
"ProjectComponent","","UnityEngine.Rendering.HighDefinition.HDAdditionalLightData","0","0 or 1","AllowProjectOwnedIfHDRPAdds","WhitelistedNeutralDevelopmentOnly","Allowed only as HDRP companion data for the single project-owned neutral light."
"RuntimeCollision","","All Collider types","1413 source-eligible owners / 5001 full-source records","0","ExcludeFor06B1","Deferred06B2","No runtime collider is silently generated in the sanitation milestone."
