"schema_version","fixture_version","cell_id","camera_id","category","required_camera_state","framing_instruction","donor_position","donor_rotation","eye_height_m","fov_degrees","aspect_ratio","condition","canonical_evidence_id","supplementary_evidence_id","status","uncertainty"
"1","M06B.1","cell_0_-3","M06B-CELL-0-M3-CAM-01","ApproachMainRoad","Standing","Stand on the main gravel road before the driveway; include both road edges, road bend, driveway junction, house and garage direction.","PendingCapture","PendingCapture","PendingCapture","PendingCapture","16:9","ClearNeutralDay;NoRain;NoFog","","M06B-EVD-001","PendingCapture","Aerial overview supports composition only; exact standing transform is unknown."
"1","M06B.1","cell_0_-3","M06B-CELL-0-M3-CAM-02","PrimaryLandmark","Standing","Stand at the driveway mouth and frame the house and garage together as one recognizable landmark.","PendingCapture","PendingCapture","PendingCapture","PendingCapture","16:9","ClearNeutralDay;NoRain;NoFog","","M06B-EVD-001","PendingCapture","Exact lens and landmark coverage are unknown."
"1","M06B.1","cell_0_-3","M06B-CELL-0-M3-CAM-03","ReverseView","Standing","Stand at the center of the garage apron and look back toward the driveway and main road.","PendingCapture","PendingCapture","PendingCapture","PendingCapture","16:9","ClearNeutralDay;NoRain;NoFog","","","PendingCapture","No suitable donor frame exists."
"1","M06B.1","cell_0_-3","M06B-CELL-0-M3-CAM-04","FrontFacade","Standing","Frame the main house facade front-on and include the adjoining garage edge without perspective exaggeration.","PendingCapture","PendingCapture","PendingCapture","PendingCapture","16:9","ClearNeutralDay;NoRain;NoFog","","","PendingCapture","No orthogonal donor view exists."
"1","M06B.1","cell_0_-3","M06B-CELL-0-M3-CAM-05","CharacteristicObliqueFacade","Standing","Use the characteristic playable oblique angle that shows house length, roof profile and the garage/apron relationship.","PendingCapture","PendingCapture","PendingCapture","PendingCapture","16:9","ClearNeutralDay;NoRain;NoFog","","","PendingCapture","No player-height oblique donor view exists."
"1","M06B.1","cell_0_-3","M06B-CELL-0-M3-CAM-06","SideRearSilhouette","Standing","Frame the side/rear silhouette of the house and garage with terrain contact visible.","PendingCapture","PendingCapture","PendingCapture","PendingCapture","16:9","ClearNeutralDay;NoRain;NoFog","","","PendingCapture","No suitable donor frame exists."
"1","M06B.1","cell_0_-3","M06B-CELL-0-M3-CAM-07","RoadLevelSightline","Standing","At normal eye height look along the main-road bend past the property; keep road edges and approach sightline visible.","PendingCapture","PendingCapture","PendingCapture","PendingCapture","16:9","ClearNeutralDay;NoRain;NoFog","","","PendingCapture","Road centerline and FOV cannot be recovered from the aerial image."
"1","M06B.1","cell_0_-3","M06B-CELL-0-M3-CAM-08","VehicleSeatApproach","VehicleDriverSeat","From the driver seat stop on the main road immediately before turning into the driveway and frame the approach.","PendingCapture","PendingCapture","PendingCapture","PendingCapture","16:9","ClearNeutralDay;NoRain;NoFog","","","PendingCapture","Vehicle seat height and exact stopping point are unknown."
"1","M06B.1","cell_0_-3","M06B-CELL-0-M3-CAM-09","DistantTreeFieldShoreSilhouette","StandingDistant","From a reachable distant point frame the home silhouette, tree/field boundary and direction toward the water.","PendingCapture","PendingCapture","PendingCapture","PendingCapture","16:9","ClearNeutralDay;NoRain;NoFog","","M06B-EVD-001","PendingCapture","Aerial overview is supplementary and cannot establish a standing viewpoint."
"1","M06B.1","cell_0_-3","M06B-CELL-0-M3-CAM-10","UserMismatchView","Standing","From the driveway center frame house, garage, curved road, hedge and utility pole as the future user-facing mismatch comparison.","PendingCapture","PendingCapture","PendingCapture","PendingCapture","16:9","ClearNeutralDay;NoRain;NoFog","","M06B-EVD-001","PendingCapture","The supplied aerial image motivates this view but is not itself the canonical camera."
