"PresentationId","FeatureIdRange","Category","DonorEvidence","Classification","CurrentState","RuntimeDestination","ReplacementPolicy","OwnerMilestone","AcceptanceEvidence","Risk"
"PRES-001","P1.WORLD.*","World geometry, terrain, roads, buildings, vegetation","Frozen04A1 canonical import/hash manifests","TemporaryDirectImport","Active frozen 49-cell baseline","Assets/Game/LegacyImport/RuntimeBaseline/World","Explicit replacement key; gameplay anchors stay project-owned","14B","M06B3 freeze + user traversal accepted","Private-only donor content; documented visual debt"
"PRES-002","P1.VEHICLE.*;P1.CAR.*","Vehicles and Satsuma","Frozen vehicle meshes/materials/audio/animation evidence","ReferenceOnly","Only bounded project prototype; frozen presentation remains external","Assets/Game/LegacyImport/RuntimeBaseline/Vehicles","On approved import classify each asset TemporaryDirectImport; wrapper prefab + replacement key","11A","Full roster visible and removable without state change","Raw payload must remain outside Git"
"PRES-003","P1.NPC.*","Characters, rigs and animation","Frozen HUMANS assets/animation evidence","TemporaryDirectImport","Three manifest-locked 10A framework fixtures generated locally: stationary service, scheduled roaming and vehicle-linked; full roster remains 10B","Assets/Game/LegacyImport/RuntimeBaseline/Characters","Project-owned LegacyCharacterPresentationBinding and replacement key; no donor controller/FSM; Phase 2 replacement preserves stable IDs","10A","User accepted Teimo/Alpo/Latanen visual motion and streaming 2026-08-01; importer/build guard, EditMode 8/8 and PlayMode 1/1 pass","Only the three reviewed fixture mesh/clip slices are compatible and bound; all other roster presentation remains external"
"PRES-004","P1.ITEM.*","Items and consumables","Frozen item prefabs/materials evidence","ReferenceOnly","Not imported/bound","Assets/Game/LegacyImport/RuntimeBaseline/Items","On approved import classify TemporaryDirectImport; project wrapper + replacement key","09B","No missing/invisible required item","Variant inventory incomplete"
"PRES-005","P1.PRESENTATION.008","Animation clips","Frozen AnimationClip evidence","TemporaryDirectImport","Three reviewed legacy clips are sanitized, event-free and bound to project-owned activity states in ignored 10A wrappers","Assets/Game/LegacyImport/RuntimeBaseline/Characters/Source/AnimationClip","Presentation-only Animation mapping; project schedule/dialogue/save state remains authoritative","10A","AlwaysAnimate, EditMode 8/8, PlayMode 1/1 and user-confirmed Teimo/Alpo/Latanen animation accepted 2026-08-01","Only three fixture clips are imported; complete roster clip/audio mapping remains 10B"
"PRES-006","P1.PRESENTATION.002;P1.PRESENTATION.009","Gameplay audio","Frozen AudioClip evidence; current Wwise event inventory","ReferenceOnly","Partial Wwise backend and events; candidate clips remain external","Assets/Game/LegacyImport/RuntimeBaseline/Audio","On approved import classify TemporaryDirectImport; only IAudioBackend/project event IDs","13C","Feature roster audible; bank/missing-event validation","Clip provenance and complete mapping pending"
"PRES-007","P1.PRESENTATION.001","UI","Approved 08A project references","ProductionReady","Implemented and user accepted","Assets/Game/UI","Project-owned; no donor UI runtime; bind real Phase1 data without redesign","09C","08A capture/tests preserved through integration","Final font/logo art remains Phase2"
"PRES-008","P1.PRESENTATION.003","Weather/sky","Enviro 3 vendor dependency; project domain","ProductionReady","Implemented/accepted bounded baseline","Assets/Game/Weather","Project-owned integration; vendor adapter; project owns state/save","13C","Time/weather/save and production scene tests","Vendor source read-only"
"PRES-009","P1.PRESENTATION.010","Temporary donor materials","M08A1 hardening evidence","TemporaryDirectImport","User accepted for Phase1","Assets/Game/LegacyImport/RuntimeBaseline/World","Replace cell-by-cell in Phase2","14B","No magenta/invisible critical surfaces","Nonphysical look accepted only temporarily"
"PRES-010","P1.HOME.*;P1.SERVICE.*;P1.MEDIA.*","Gameplay props and feedback","Frozen world/GameObject/AudioClip evidence","TemporaryDirectImport","Mostly static props already present through world baseline; unbound candidates remain ReferenceOnly","Assets/Game/LegacyImport/RuntimeBaseline/GameplayPresentation","Semantic wrapper; stable ID; removable presentation","14B","Every required interaction visibly/audibly understandable","Large mapping workload"
