CaptureId,StateBinding,QualityTier,CameraAnchor,Purpose,ExpectedOutputPath,Status,CapturedUtc,Notes
"W07A-CAP-CLEAR-EXT-HIGH","weather.clear","High","W07A-CAP-EXT-01","Clear exterior baseline","E:/GAYmDev_Studio/MySummerCar_Remake/PerformanceCaptures/Milestone07A/Captures/W07A_CLEAR_EXT_HIGH.png","MANUAL_PASS_CAPTURE_MISSING","","User accepted general rendering on 2026-07-17; screenshot artifact is still missing"
"W07A-CAP-OVERCAST-EXT-HIGH","weather.overcast","High","W07A-CAP-EXT-01","Overcast exterior comparison","E:/GAYmDev_Studio/MySummerCar_Remake/PerformanceCaptures/Milestone07A/Captures/W07A_OVERCAST_EXT_HIGH.png","MANUAL_PASS_CAPTURE_MISSING","","User accepted general rendering on 2026-07-17; screenshot artifact is still missing"
"W07A-CAP-RAIN-EXT-HIGH","weather.rain","High","W07A-CAP-EXT-01","Rain exterior and precipitation visibility","E:/GAYmDev_Studio/MySummerCar_Remake/PerformanceCaptures/Milestone07A/Captures/W07A_RAIN_EXT_HIGH.png","MANUAL_PASS_CAPTURE_MISSING","","User accepted visible droplets after exact Rain effect binding remediation on 2026-07-17; no wetness/puddle claim"
"W07A-CAP-RAIN-INT-HIGH","weather.rain","High","W07A-CAP-INT-01","Rain viewed from interior through transparent window","E:/GAYmDev_Studio/MySummerCar_Remake/PerformanceCaptures/Milestone07A/Captures/W07A_RAIN_INT_HIGH.png","MANUAL_PASS_CAPTURE_MISSING","","User accepted rain droplets and fog/transparent composition on 2026-07-17; screenshot artifact is missing"
"W07A-CAP-RAIN-VEH-HIGH","weather.rain","High","W07A-CAP-VEH-01","Rain viewed from stationary vehicle interior","E:/GAYmDev_Studio/MySummerCar_Remake/PerformanceCaptures/Milestone07A/Captures/W07A_RAIN_VEH_HIGH.png","MANUAL_PASS_CAPTURE_MISSING","","User accepted visible droplets from the stationary vehicle proxy on 2026-07-17; screenshot artifact is missing"
"W07A-CAP-NIGHT-HEADLIGHTS-HIGH","weather.night","High","W07A-CAP-HEADLIGHTS-01","Night exposure and headlights","E:/GAYmDev_Studio/MySummerCar_Remake/PerformanceCaptures/Milestone07A/Captures/W07A_NIGHT_HEADLIGHTS_HIGH.png","MANUAL_PARTIAL_CAPTURE_MISSING","","General rendering accepted; headlights and restrained bloom were not separately confirmed"
"W07A-CAP-FOG-WATER-HIGH","weather.fog","High","W07A-CAP-WATERFOG-01","Fog near transparent water proxy","E:/GAYmDev_Studio/MySummerCar_Remake/PerformanceCaptures/Milestone07A/Captures/W07A_FOG_WATER_HIGH.png","MANUAL_PASS_CAPTURE_MISSING","","User confirmed fog does not incorrectly overlap or occlude; screenshot artifact is missing"
"W07A-CAP-STORM-LIGHTNING-HIGH","weather.storm_visual","High","W07A-CAP-EXT-01","Explicit ambient lightning visual and storm cleanup","E:/GAYmDev_Studio/MySummerCar_Remake/PerformanceCaptures/Milestone07A/Captures/W07A_STORM_LIGHTNING_HIGH.png","MANUAL_PASS_CAPTURE_MISSING","","User accepted visible lightning and intensified rain on 2026-07-17; storm cleanup is automated, screenshot artifact is missing"
"W07A-CAP-CLEAR-EXT-LOW","weather.clear","Low","W07A-CAP-EXT-01","Low/high quality comparison A","E:/GAYmDev_Studio/MySummerCar_Remake/PerformanceCaptures/Milestone07A/Captures/W07A_CLEAR_EXT_LOW.png","MANUAL_PARTIAL_CAPTURE_MISSING","","General rendering accepted; identical-anchor Low/High comparison is not captured"
"W07A-CAP-RAIN-EXT-LOW","weather.rain","Low","W07A-CAP-EXT-01","Low/high quality comparison B","E:/GAYmDev_Studio/MySummerCar_Remake/PerformanceCaptures/Milestone07A/Captures/W07A_RAIN_EXT_LOW.png","MANUAL_PARTIAL_CAPTURE_MISSING","","High-tier droplets were accepted; Low-tier visibility and identical-anchor Low/High comparison are not confirmed"
"W07A-CAP-FOG-INT-HIGH","weather.fog","High","W07A-CAP-INT-01","Interior fog leakage diagnostic","E:/GAYmDev_Studio/MySummerCar_Remake/PerformanceCaptures/Milestone07A/Captures/W07A_FOG_INT_HIGH.png","MANUAL_PASS_CAPTURE_MISSING","","User confirmed fog does not incorrectly overlap or occlude; screenshot artifact is missing"
"W07A-CAP-RELOAD-DIAGNOSTIC","weather.clear","High","W07A-CAP-PERF-01","Scene reload duplicate-owner diagnostic","E:/GAYmDev_Studio/MySummerCar_Remake/PerformanceCaptures/Milestone07A/Captures/W07A_RELOAD_DIAGNOSTIC.png","PENDING","","Reload scene twice and record manager/volume/light counts"
